Rice Seed,Model,Feature,Precision,Recall,F1-score,Accuracy,Best Param
HuongThom,RF,GLCM,0.8312586445366529,0.8561253561253561,0.8435087719298245,0.8372262773722627,"{'criterion': 'entropy', 'max_depth': None, 'n_estimators': 200}"
HuongThom,KNN,Gist,0.6504854368932039,0.7635327635327636,0.7024901703800787,0.6686131386861314,{'n_neighbors': 20}
HuongThom,SVM,Gist,0.7986013986013986,0.8133903133903134,0.8059280169371913,0.7992700729927007,"{'C': 0.9, 'kernel': 'linear'}"
HuongThom,RF,Gist,0.8212877792378449,0.8903133903133903,0.8544087491455913,0.8445255474452554,"{'criterion': 'gini', 'max_depth': 20, 'n_estimators': 200}"
HuongThom,KNN,Basic LBP,0.8619756427604871,0.9074074074074074,0.8841082581540597,0.878102189781022,{'n_neighbors': 10}
HuongThom,SVM,Basic LBP,0.9231843575418994,0.9415954415954416,0.9322990126939351,0.92992700729927,"{'C': 1, 'kernel': 'rbf'}"
HuongThom,RF,Basic LBP,0.9046941678520626,0.905982905982906,0.9053380782918149,0.9029197080291971,"{'criterion': 'entropy', 'max_depth': 20, 'n_estimators': 180}"
HuongThom,KNN,Basic GLCM,0.8891855807743658,0.9487179487179487,0.9179875947622329,0.9131386861313868,{'n_neighbors': 10}
HuongThom,SVM,Basic GLCM,0.947075208913649,0.9686609686609686,0.9577464788732394,0.9562043795620438,"{'C': 1, 'kernel': 'linear'}"
HuongThom,RF,Basic GLCM,0.9234104046242775,0.9102564102564102,0.9167862266857962,0.9153284671532846,"{'criterion': 'gini', 'max_depth': None, 'n_estimators': 120}"
HuongThom,KNN,Basic Gist,0.7798507462686567,0.8931623931623932,0.8326693227091634,0.8160583941605839,{'n_neighbors': 10}
HuongThom,SVM,Basic Gist,0.9261939218523878,0.9116809116809117,0.9188801148600143,0.9175182481751825,"{'C': 0.4, 'kernel': 'linear'}"
HuongThom,RF,Basic Gist,0.8624113475177305,0.8660968660968661,0.8642501776830135,0.8605839416058394,"{'criterion': 'entropy', 'max_depth': None, 'n_estimators': 180}"
HuongThom,KNN,Gist GLCM,0.7176196032672112,0.8760683760683761,0.7889672867222579,0.7598540145985402,{'n_neighbors': 10}
HuongThom,SVM,Gist GLCM,0.8755426917510853,0.8618233618233618,0.8686288585786073,0.8664233576642336,"{'C': 0.6, 'kernel': 'linear'}"
HuongThom,RF,Gist GLCM,0.8701657458563536,0.8974358974358975,0.8835904628330996,0.8788321167883212,"{'criterion': 'gini', 'max_depth': 30, 'n_estimators': 200}"
HuongThom,KNN,LBP Gist,0.6646919431279621,0.7991452991452992,0.7257438551099612,0.6905109489051094,{'n_neighbors': 20}
HuongThom,SVM,LBP Gist,0.8065433854907539,0.8076923076923077,0.80711743772242,0.8021897810218979,"{'C': 0.9, 'kernel': 'linear'}"
HuongThom,RF,LBP Gist,0.8481182795698925,0.8988603988603988,0.8727524204702628,0.8656934306569343,"{'criterion': 'gini', 'max_depth': 20, 'n_estimators': 200}"
HuongThom,KNN,LBP GLCM,0.8303198887343533,0.8504273504273504,0.840253342716397,0.8343065693430657,{'n_neighbors': 10}
HuongThom,SVM,LBP GLCM,0.8717598908594816,0.9102564102564102,0.8905923344947735,0.8854014598540146,"{'C': 0.8, 'kernel': 'rbf'}"
HuongThom,RF,LBP GLCM,0.8664772727272727,0.8689458689458689,0.8677098150782361,0.8642335766423358,"{'criterion': 'entropy', 'max_depth': 20, 'n_estimators': 150}"
HuongThom,KNN,Basic LBP GLCM,0.8819628647214854,0.9472934472934473,0.9134615384615384,0.908029197080292,{'n_neighbors': 10}
HuongThom,SVM,Basic LBP GLCM,0.9659574468085106,0.9700854700854701,0.9680170575692963,0.9671532846715328,"{'C': 1, 'kernel': 'linear'}"
HuongThom,RF,Basic LBP GLCM,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9211678832116789,"{'criterion': 'entropy', 'max_depth': None, 'n_estimators': 120}"
HuongThom,KNN,Basic LBP GIST,0.7800982800982801,0.9045584045584045,0.837730870712401,0.8204379562043795,{'n_neighbors': 10}
HuongThom,SVM,Basic LBP GIST,0.9213161659513591,0.9173789173789174,0.9193433261955746,0.9175182481751825,"{'C': 0.1, 'kernel': 'linear'}"
HuongThom,RF,Basic LBP GIST,0.8760683760683761,0.8760683760683761,0.8760683760683761,0.872992700729927,"{'criterion': 'entropy', 'max_depth': None, 'n_estimators': 180}"
HuongThom,KNN,Basic GLCM GIST,0.7817745803357314,0.9287749287749287,0.8489583333333334,0.8306569343065694,{'n_neighbors': 10}
