Model,Dataset,Feature Combination,Accuracy,Precision,Recall,F1 Score,CV_scores(5fold)
Random Forest,Huongthom,Basic+Enhanced Color+GLCM,0.9598540145985401,0.9598755273881775,0.9598540145985401,0.9598519822034698,0.9589928057553957
K-Nearest Neighbors,Huongthom,Basic+Enhanced Color+Edge,0.9357664233576642,0.9373726117697212,0.9357664233576642,0.9356857956093123,0.9363309352517986
Support Vector Machine,Huongthom,Basic+Enhanced Color+Edge,0.9722627737226277,0.9722965362080248,0.9722627737226277,0.9722609999591567,0.9812949640287769
Random Forest,Huongthom,Basic+Enhanced Color+Edge,0.9642335766423358,0.9643089539807879,0.9642335766423358,0.9642296309143135,0.9600719424460433
K-Nearest Neighbors,Huongthom,Basic+Zernike moments+LBP,0.8978102189781022,0.9012219040750389,0.8978102189781022,0.8975375404320232,0.893525179856115
Support Vector Machine,Huongthom,Basic+Zernike moments+LBP,0.9437956204379562,0.9440832735271637,0.9437956204379562,0.9437940932190831,0.9543165467625899
Random Forest,Huongthom,Basic+Zernike moments+LBP,0.9175182481751825,0.9181055431728021,0.9175182481751825,0.9175061623186421,0.9190647482014388
K-Nearest Neighbors,Huongthom,Basic+Zernike moments+GLCM,0.9116788321167884,0.9171363629028617,0.9116788321167884,0.9113315042575028,0.9097122302158274
Support Vector Machine,Huongthom,Basic+Zernike moments+GLCM,0.962043795620438,0.9621113461940765,0.962043795620438,0.9620447663342511,0.9694244604316546
Random Forest,Huongthom,Basic+Zernike moments+GLCM,0.9284671532846716,0.9288538906035716,0.9284671532846716,0.9284625797292057,0.9363309352517986
K-Nearest Neighbors,Huongthom,Basic+Zernike moments+Edge,0.9116788321167884,0.9165854697619356,0.9116788321167884,0.9113633958301204,0.9010791366906474
Support Vector Machine,Huongthom,Basic+Zernike moments+Edge,0.9547445255474453,0.9548921910877968,0.9547445255474453,0.9547451042323521,0.9654676258992806
Random Forest,Huongthom,Basic+Zernike moments+Edge,0.9255474452554745,0.9258613594283669,0.9255474452554745,0.92554458914719,0.9201438848920864
K-Nearest Neighbors,Huongthom,Basic+LBP+GLCM,0.8956204379562044,0.902923546613165,0.8956204379562044,0.8950636390792047,0.8809352517985612
Support Vector Machine,Huongthom,Basic+LBP+GLCM,0.962043795620438,0.9620758587772005,0.962043795620438,0.9620413683651619,0.960431654676259
Random Forest,Huongthom,Basic+LBP+GLCM,0.918978102189781,0.9199918343963994,0.918978102189781,0.9189510306874425,0.9165467625899282
K-Nearest Neighbors,Huongthom,Basic+LBP+Edge,0.8875912408759125,0.8909028901325436,0.8875912408759125,0.8872912944752255,0.8597122302158274
Support Vector Machine,Huongthom,Basic+LBP+Edge,0.9379562043795621,0.9379749162273298,0.9379562043795621,0.9379530634053623,0.9388489208633093
Random Forest,Huongthom,Basic+LBP+Edge,0.910948905109489,0.9114855820830732,0.910948905109489,0.9109375175014467,0.9032374100719425
K-Nearest Neighbors,Huongthom,Basic+GLCM+Edge,0.9029197080291971,0.9094154700310318,0.9029197080291971,0.9024627278060613,0.8949640287769783
Support Vector Machine,Huongthom,Basic+GLCM+Edge,0.9569343065693431,0.9570592084989502,0.9569343065693431,0.9569350637618935,0.9654676258992805
Random Forest,Huongthom,Basic+GLCM+Edge,0.9284671532846716,0.9299743576918007,0.9284671532846716,0.9284275022832006,0.925179856115108
K-Nearest Neighbors,Huongthom,Enhanced Color+Zernike moments+LBP,0.9430656934306569,0.9433567296279335,0.9430656934306569,0.9430482113792932,0.9460431654676258
Support Vector Machine,Huongthom,Enhanced Color+Zernike moments+LBP,0.9766423357664233,0.9766457026687898,0.9766423357664233,0.9766419374781729,0.9780575539568346
Random Forest,Huongthom,Enhanced Color+Zernike moments+LBP,0.9554744525547445,0.9557663377813563,0.9554744525547445,0.9554732426800528,0.9611510791366907
K-Nearest Neighbors,Huongthom,Enhanced Color+Zernike moments+GLCM,0.9416058394160584,0.9441240612618116,0.9416058394160584,0.9414988145562291,0.9417266187050359
Support Vector Machine,Huongthom,Enhanced Color+Zernike moments+GLCM,0.9737226277372263,0.9737613249569627,0.9737226277372263,0.973723299779892,0.9794964028776978
Random Forest,Huongthom,Enhanced Color+Zernike moments+GLCM,0.9547445255474453,0.9548921910877968,0.9547445255474453,0.9547451042323521,0.9651079136690648
K-Nearest Neighbors,Huongthom,Enhanced Color+Zernike moments+Edge,0.9394160583941605,0.9406698207191152,0.9394160583941605,0.9393550639115247,0.9460431654676258
Support Vector Machine,Huongthom,Enhanced Color+Zernike moments+Edge,0.9693430656934306,0.9693608994484851,0.9693430656934306,0.9693437190807772,0.9816546762589928
Random Forest,Huongthom,Enhanced Color+Zernike moments+Edge,0.9613138686131387,0.9616078699084529,0.9613138686131387,0.9613128174105378,0.9651079136690648
K-Nearest Neighbors,Huongthom,Enhanced Color+LBP+GLCM,0.9197080291970803,0.9203775032753135,0.9197080291970803,0.9196576737254428,0.9276978417266187
Support Vector Machine,Huongthom,Enhanced Color+LBP+GLCM,0.9700729927007299,0.9700735481261417,0.9700729927007299,0.9700727534983589,0.9758992805755395
Random Forest,Huongthom,Enhanced Color+LBP+GLCM,0.9525547445255474,0.9527613470324615,0.9525547445255474,0.9525437434396906,0.9503597122302159
K-Nearest Neighbors,Huongthom,Enhanced Color+LBP+Edge,0.9284671532846716,0.9286840868885613,0.9284671532846716,0.9284488506373243,0.9352517985611509
Support Vector Machine,Huongthom,Enhanced Color+LBP+Edge,0.9627737226277372,0.9629333155843484,0.9627737226277372,0.962766758218119,0.9741007194244604
Random Forest,Huongthom,Enhanced Color+LBP+Edge,0.9525547445255474,0.9527613470324615,0.9525547445255474,0.9525437434396906,0.9553956834532373
K-Nearest Neighbors,Huongthom,Enhanced Color+GLCM+Edge,0.9248175182481752,0.9269505856882414,0.9248175182481752,0.9246936010717455,0.9377697841726619
Support Vector Machine,Huongthom,Enhanced Color+GLCM+Edge,0.9722627737226277,0.9722659725910497,0.9722627737226277,0.9722623007553304,0.9784172661870503
Random Forest,Huongthom,Enhanced Color+GLCM+Edge,0.9518248175182482,0.9518807215227305,0.9518248175182482,0.9518202988869231,0.9543165467625899
K-Nearest Neighbors,Huongthom,Zernike moments+LBP+GLCM,0.8824817518248175,0.8950509956465802,0.8824817518248175,0.8814160035002914,0.8798561151079138
Support Vector Machine,Huongthom,Zernike moments+LBP+GLCM,0.9335766423357664,0.9339639762063999,0.9335766423357664,0.9335506137498529,0.9410071942446043
Random Forest,Huongthom,Zernike moments+LBP+GLCM,0.9007299270072993,0.900876720836739,0.9007299270072993,0.9007091852895093,0.9032374100719425
K-Nearest Neighbors,Huongthom,Zernike moments+LBP+Edge,0.8591240875912409,0.871682170957543,0.8591240875912409,0.8577656389358941,0.85431654676259
