Model,Dataset,Feature Combination,Best Params,Accuracy,Precision,Recall,F1 Score,CV_scores(5fold)
K-Nearest Neighbors,BC-15,Enhanced Color+Edge,"{'weights': 'uniform', 'n_neighbors': 13, 'metric': 'euclidean'}",0.742998352553542,0.7480348893206626,0.742998352553542,0.7417325659102697,0.7726372466564422
Support Vector Machine,BC-15,Enhanced Color+Edge,"{'kernel': 'rbf', 'gamma': 'auto', 'C': 7.742636826811277}",0.8171334431630972,0.8183998963097882,0.8171334431630972,0.8169635542328745,0.8384117482148452
Random Forest,BC-15,Enhanced Color+Edge,"{'n_estimators': 300, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_depth': 30, 'bootstrap': True}",0.7775947281713345,0.7789553106701104,0.7775947281713345,0.7773409298614137,0.7762875377232474
K-Nearest Neighbors,BC-15,Zernike moments+LBP,"{'weights': 'uniform', 'n_neighbors': 9, 'metric': 'manhattan'}",0.8459637561779242,0.857531465968769,0.8459637561779242,0.8447352346904135,0.838395257177724
Support Vector Machine,BC-15,Zernike moments+LBP,"{'kernel': 'rbf', 'gamma': 'scale', 'C': 2.1544346900318843}",0.8920922570016474,0.8937286944476672,0.8920922570016474,0.8919865058349365,0.8997105822985209
Random Forest,BC-15,Zernike moments+LBP,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_depth': 30, 'bootstrap': False}",0.8616144975288303,0.863206413698065,0.8616144975288303,0.8614716336187354,0.8591121225613879
K-Nearest Neighbors,BC-15,Zernike moments+GLCM,"{'weights': 'distance', 'n_neighbors': 11, 'metric': 'euclidean'}",0.8393739703459637,0.8498832459334457,0.8393739703459637,0.83818671915339,0.8428635036857468
Support Vector Machine,BC-15,Zernike moments+GLCM,"{'kernel': 'rbf', 'gamma': 'scale', 'C': 2.1544346900318843}",0.8986820428336079,0.8997329892375847,0.8986820428336079,0.8986202046623856,0.8968691766025165
Random Forest,BC-15,Zernike moments+GLCM,"{'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_depth': None, 'bootstrap': False}",0.8517298187808896,0.8545567817536249,0.8517298187808896,0.8514468027160457,0.8603299856527977
K-Nearest Neighbors,BC-15,Zernike moments+Edge,"{'weights': 'distance', 'n_neighbors': 11, 'metric': 'euclidean'}",0.8360790774299836,0.8490927572458664,0.8360790774299836,0.834569013206348,0.8412407856330084
Support Vector Machine,BC-15,Zernike moments+Edge,"{'kernel': 'rbf', 'gamma': 'scale', 'C': 2.1544346900318843}",0.8855024711696869,0.8866553339568004,0.8855024711696869,0.8854229436109357,0.8911863652105081
Random Forest,BC-15,Zernike moments+Edge,"{'n_estimators': 250, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_depth': 20, 'bootstrap': False}",0.8616144975288303,0.8668003308384089,0.8616144975288303,0.8611396763485325,0.8591178944243805
K-Nearest Neighbors,BC-15,LBP+GLCM,"{'weights': 'distance', 'n_neighbors': 39, 'metric': 'manhattan'}",0.7166392092257001,0.7225114583425103,0.7166392092257001,0.7148189888761087,0.7206640940648757
Support Vector Machine,BC-15,LBP+GLCM,"{'kernel': 'rbf', 'gamma': 'auto', 'C': 7.742636826811277}",0.7883031301482701,0.788371693812292,0.7883031301482701,0.788294080492664,0.742591401573245
Random Forest,BC-15,LBP+GLCM,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 30, 'bootstrap': False}",0.7553542009884678,0.7555659278346297,0.7553542009884678,0.7553118652755989,0.7365020861161958
K-Nearest Neighbors,BC-15,LBP+Edge,"{'weights': 'distance', 'n_neighbors': 27, 'metric': 'euclidean'}",0.6400329489291599,0.6496844749691966,0.6400329489291599,0.6343014896333733,0.6151115618661257
Support Vector Machine,BC-15,LBP+Edge,"{'kernel': 'rbf', 'gamma': 'scale', 'C': 2.1544346900318843}",0.6762767710049423,0.6815930406251798,0.6762767710049423,0.6739757978865348,0.6504271178614424
Random Forest,BC-15,LBP+Edge,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_depth': 30, 'bootstrap': True}",0.6523887973640856,0.6558992993691625,0.6523887973640856,0.6505109098642723,0.6207902504988538
K-Nearest Neighbors,BC-15,GLCM+Edge,"{'weights': 'distance', 'n_neighbors': 31, 'metric': 'euclidean'}",0.7108731466227347,0.7190999858729841,0.7108731466227348,0.7082096665096892,0.700772605089134
Support Vector Machine,BC-15,GLCM+Edge,"{'kernel': 'rbf', 'gamma': 'scale', 'C': 2.1544346900318843}",0.7512355848434926,0.7518709762354476,0.7512355848434926,0.7510937244182337,0.7373109714869968
Random Forest,BC-15,GLCM+Edge,"{'n_estimators': 150, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_depth': 30, 'bootstrap': True}",0.7397034596375618,0.7397311209836986,0.7397034596375618,0.7396992207980005,0.7210714226817724
K-Nearest Neighbors,BC-15,Basic+Enhanced Color+Zernike moments,"{'weights': 'distance', 'n_neighbors': 11, 'metric': 'euclidean'}",0.8879736408566722,0.8948536474004651,0.8879736408566722,0.8874973590786023,0.9001278055376902
Support Vector Machine,BC-15,Basic+Enhanced Color+Zernike moments,"{'kernel': 'rbf', 'gamma': 'auto', 'C': 7.742636826811277}",0.943986820428336,0.9442979268116864,0.943986820428336,0.9439783059384987,0.9459992743943666
Random Forest,BC-15,Basic+Enhanced Color+Zernike moments,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 30, 'bootstrap': False}",0.9159802306425041,0.9171466697882649,0.9159802306425041,0.9159254684742429,0.9256979831461601
K-Nearest Neighbors,BC-15,Basic+Enhanced Color+LBP,"{'weights': 'distance', 'n_neighbors': 11, 'metric': 'euclidean'}",0.8805601317957167,0.8909871807964886,0.8805601317957167,0.8797768818390005,0.8656112402909019
Support Vector Machine,BC-15,Basic+Enhanced Color+LBP,"{'kernel': 'rbf', 'gamma': 'auto', 'C': 7.742636826811277}",0.9233937397034596,0.9249801640586605,0.9233937397034596,0.9233263710624339,0.9240727914378535
Random Forest,BC-15,Basic+Enhanced Color+LBP,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 30, 'bootstrap': False}",0.9110378912685337,0.9121909890244833,0.9110378912685337,0.9109799077962573,0.9033666452283183
K-Nearest Neighbors,BC-15,Basic+Enhanced Color+GLCM,"{'weights': 'distance', 'n_neighbors': 11, 'metric': 'euclidean'}",0.8739703459637562,0.883799375762284,0.8739703459637562,0.8731774826001698,0.8761671531522618
Support Vector Machine,BC-15,Basic+Enhanced Color+GLCM,"{'kernel': 'linear', 'gamma': 'auto', 'C': 27.825594022071257}",0.9200988467874794,0.9218483774231356,0.9200988467874794,0.9200205424884644,0.9265052194132488
Random Forest,BC-15,Basic+Enhanced Color+GLCM,"{'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_depth': None, 'bootstrap': False}",0.9159802306425041,0.9171466697882649,0.9159802306425041,0.9159254684742429,0.8984927192071108
K-Nearest Neighbors,BC-15,Basic+Enhanced Color+Edge,"{'weights': 'distance', 'n_neighbors': 11, 'metric': 'euclidean'}",0.8756177924217463,0.8881639270753579,0.8756177924217463,0.8746257777446655,0.8777939939642805
