Model,Dataset,Feature Combination,Best Params,Accuracy,Precision,Recall,F1 Score,CV_scores(5fold)
K-Nearest Neighbors,Q5,Enhanced Color+Edge,"{'weights': 'distance', 'n_neighbors': 11, 'metric': 'euclidean'}",0.903420523138833,0.9115389535600869,0.903420523138833,0.9029113616727232,0.8814546839299314
Support Vector Machine,Q5,Enhanced Color+Edge,"{'kernel': 'rbf', 'gamma': 'scale', 'C': 100.0}",0.9325955734406438,0.9329818893908196,0.9325955734406438,0.9325761234580389,0.9151843844434072
Random Forest,Q5,Enhanced Color+Edge,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': None, 'bootstrap': False}",0.920523138832998,0.9210049143748352,0.920523138832998,0.9204944092024949,0.8864150062648944
K-Nearest Neighbors,Q5,Zernike moments+LBP,"{'weights': 'distance', 'n_neighbors': 11, 'metric': 'manhattan'}",0.8943661971830986,0.8985225109872997,0.8943661971830986,0.8940653854998774,0.8963368793455029
Support Vector Machine,Q5,Zernike moments+LBP,"{'kernel': 'rbf', 'gamma': 'scale', 'C': 2.1544346900318843}",0.9175050301810865,0.9199361050229842,0.9175050301810865,0.9173715355955857,0.9127005380438789
Random Forest,Q5,Zernike moments+LBP,"{'n_estimators': 300, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_depth': 30, 'bootstrap': False}",0.8993963782696177,0.900028096782704,0.8993963782696177,0.8993474752877951,0.9007996953541507
K-Nearest Neighbors,Q5,Zernike moments+GLCM,"{'weights': 'distance', 'n_neighbors': 11, 'metric': 'manhattan'}",0.8672032193158954,0.8706112236280399,0.8672032193158954,0.8668668243093519,0.8814473134658378
Support Vector Machine,Q5,Zernike moments+GLCM,"{'kernel': 'rbf', 'gamma': 'auto', 'C': 7.742636826811277}",0.8983903420523138,0.8992267374622435,0.8983903420523138,0.8983264312347207,0.9102265189298088
Random Forest,Q5,Zernike moments+GLCM,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': None, 'bootstrap': False}",0.892354124748491,0.8931764331034587,0.892354124748491,0.8922864172486645,0.905761246099796
K-Nearest Neighbors,Q5,Zernike moments+Edge,"{'weights': 'uniform', 'n_neighbors': 9, 'metric': 'manhattan'}",0.8752515090543259,0.8759662379939595,0.8752515090543259,0.8751792394294465,0.8898828096209126
Support Vector Machine,Q5,Zernike moments+Edge,"{'kernel': 'rbf', 'gamma': 'auto', 'C': 7.742636826811277}",0.886317907444668,0.8871261287446741,0.886317907444668,0.8862464032626083,0.9072500798466944
Random Forest,Q5,Zernike moments+Edge,"{'n_estimators': 150, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_depth': 30, 'bootstrap': False}",0.8843058350100603,0.8848506665703967,0.8843058350100603,0.8842546370437668,0.901293516448419
K-Nearest Neighbors,Q5,LBP+GLCM,"{'weights': 'uniform', 'n_neighbors': 9, 'metric': 'manhattan'}",0.6851106639839034,0.6968793102980501,0.6851106639839034,0.6800495971144318,0.6939439353364617
Support Vector Machine,Q5,LBP+GLCM,"{'kernel': 'rbf', 'gamma': 'auto', 'C': 7.742636826811277}",0.7867203219315896,0.7873492002421906,0.7867203219315896,0.7865751473017464,0.7881998869862172
Random Forest,Q5,LBP+GLCM,"{'n_estimators': 300, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_depth': 30, 'bootstrap': False}",0.7354124748490946,0.7355949901745101,0.7354124748490946,0.7353361264099137,0.7470235609168858
K-Nearest Neighbors,Q5,LBP+Edge,"{'weights': 'distance', 'n_neighbors': 27, 'metric': 'euclidean'}",0.60261569416499,0.604297410233336,0.60261569416499,0.6006926354079697,0.6150836547674619
Support Vector Machine,Q5,LBP+Edge,"{'kernel': 'rbf', 'gamma': 'scale', 'C': 2.1544346900318843}",0.6649899396378269,0.6671881524257842,0.6649899396378269,0.6637245457222031,0.6765803503427266
Random Forest,Q5,LBP+Edge,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_depth': 30, 'bootstrap': True}",0.6257545271629779,0.6257628717845714,0.6257545271629779,0.6257181592549552,0.619551384418839
K-Nearest Neighbors,Q5,GLCM+Edge,"{'weights': 'uniform', 'n_neighbors': 13, 'metric': 'euclidean'}",0.6881287726358148,0.6986790295800157,0.6881287726358148,0.6836699733669819,0.7108026435397883
Support Vector Machine,Q5,GLCM+Edge,"{'kernel': 'rbf', 'gamma': 'auto', 'C': 7.742636826811277}",0.7474849094567404,0.7502245092299485,0.7474849094567404,0.7467102768828628,0.7678684617841436
Random Forest,Q5,GLCM+Edge,"{'n_estimators': 300, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_depth': None, 'bootstrap': True}",0.7183098591549296,0.7192589797452346,0.7183098591549296,0.7179409694193836,0.7286760189666609
K-Nearest Neighbors,Q5,Basic+Enhanced Color+Zernike moments,"{'weights': 'distance', 'n_neighbors': 11, 'metric': 'euclidean'}",0.9486921529175051,0.9517515601029903,0.9486921529175051,0.9485961469116214,0.9494128196938801
Support Vector Machine,Q5,Basic+Enhanced Color+Zernike moments,"{'kernel': 'rbf', 'gamma': 'scale', 'C': 100.0}",0.9778672032193159,0.9779896344642586,0.9778672032193159,0.9778650524290565,0.968755374296735
Random Forest,Q5,Basic+Enhanced Color+Zernike moments,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 20, 'bootstrap': False}",0.9627766599597586,0.9628663821847694,0.9627766599597586,0.9627737587008617,0.9508955113873669
K-Nearest Neighbors,Q5,Basic+Enhanced Color+LBP,"{'weights': 'distance', 'n_neighbors': 11, 'metric': 'euclidean'}",0.93158953722334,0.9371131589553741,0.93158953722334,0.9313560439795644,0.9251136279881089
Support Vector Machine,Q5,Basic+Enhanced Color+LBP,"{'kernel': 'rbf', 'gamma': 'auto', 'C': 7.742636826811277}",0.9778672032193159,0.9780589844130304,0.9778672032193159,0.9778640664850782,0.9632975456354569
Random Forest,Q5,Basic+Enhanced Color+LBP,"{'n_estimators': 150, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_depth': 20, 'bootstrap': False}",0.9627766599597586,0.9628220000273752,0.9627766599597586,0.9627749644874933,0.9464314669680368
K-Nearest Neighbors,Q5,Basic+Enhanced Color+GLCM,"{'weights': 'distance', 'n_neighbors': 11, 'metric': 'euclidean'}",0.9366197183098591,0.9428361957612631,0.9366197183098591,0.9363803194609573,0.931556642016559
Support Vector Machine,Q5,Basic+Enhanced Color+GLCM,"{'kernel': 'rbf', 'gamma': 'auto', 'C': 7.742636826811277}",0.9748490945674044,0.9752790820800289,0.9748490945674044,0.9748418371112085,0.9618099402992408
Random Forest,Q5,Basic+Enhanced Color+GLCM,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': None, 'bootstrap': False}",0.9647887323943662,0.9648789679696791,0.9647887323943662,0.9647859879602746,0.9503980050610521
