Model,Dataset,Feature Combination,Best Params,Accuracy,Precision,Recall,F1 Score,CV_scores(5fold)
Support Vector Machine,Xi23,Basic+Zernike moments,"{'kernel': 'rbf', 'gamma': 'auto', 'C': 7.742636826811277}",0.9656432748538012,0.9656635676855816,0.9656432748538012,0.965648756064212,0.964709313630177
Random Forest,Xi23,Basic+Zernike moments,"{'n_estimators': 250, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 30, 'bootstrap': False}",0.9334795321637428,0.9335097735704352,0.9334795321637428,0.93349014472007,0.92437228595502
K-Nearest Neighbors,Xi23,Basic+LBP,"{'weights': 'distance', 'n_neighbors': 11, 'metric': 'manhattan'}",0.9064327485380116,0.906833578753161,0.9064327485380116,0.90624909774928,0.9106947955149394
Support Vector Machine,Xi23,Basic+LBP,"{'kernel': 'rbf', 'gamma': 'auto', 'C': 7.742636826811277}",0.953216374269006,0.953220678982452,0.953216374269006,0.9532000733541168,0.9463432497245444
Random Forest,Xi23,Basic+LBP,"{'n_estimators': 250, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_depth': 20, 'bootstrap': False}",0.9247076023391811,0.9249685185344002,0.9247076023391811,0.924754349408595,0.9229347332944456
K-Nearest Neighbors,Xi23,Basic+GLCM,"{'weights': 'uniform', 'n_neighbors': 9, 'metric': 'manhattan'}",0.912280701754386,0.9134552666478928,0.912280701754386,0.9119940373810342,0.9078067275909004
Support Vector Machine,Xi23,Basic+GLCM,"{'kernel': 'rbf', 'gamma': 'auto', 'C': 7.742636826811277}",0.9583333333333334,0.9583297502751787,0.9583333333333334,0.9583310269962356,0.9445459848337544
Random Forest,Xi23,Basic+GLCM,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_depth': None, 'bootstrap': False}",0.9269005847953216,0.9271918372784048,0.9269005847953216,0.926948907726046,0.9265357443774708
K-Nearest Neighbors,Xi23,Basic+Edge,"{'weights': 'uniform', 'n_neighbors': 9, 'metric': 'manhattan'}",0.9203216374269004,0.9204826198480762,0.9203216374269004,0.9202229826268752,0.9207797005638731
Support Vector Machine,Xi23,Basic+Edge,"{'kernel': 'rbf', 'gamma': 'auto', 'C': 7.742636826811277}",0.9568713450292398,0.9569194825966448,0.9568713450292398,0.9568825787720724,0.9521077192300216
Random Forest,Xi23,Basic+Edge,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': None, 'bootstrap': False}",0.921783625730994,0.9221152804851636,0.921783625730994,0.9218383898453814,0.925094951066174
K-Nearest Neighbors,Xi23,Enhanced Color+Zernike moments,"{'weights': 'uniform', 'n_neighbors': 9, 'metric': 'manhattan'}",0.8998538011695907,0.9042338270944044,0.8998538011695907,0.8991033783057937,0.9034940696091776
Support Vector Machine,Xi23,Enhanced Color+Zernike moments,"{'kernel': 'rbf', 'gamma': 'auto', 'C': 7.742636826811277}",0.956140350877193,0.956372541498533,0.956140350877193,0.9560893354664576,0.9585909650657852
Random Forest,Xi23,Enhanced Color+Zernike moments,"{'n_estimators': 250, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 30, 'bootstrap': False}",0.921783625730994,0.9222162555045392,0.921783625730994,0.9216367472920722,0.9175384017110636
K-Nearest Neighbors,Xi23,Enhanced Color+LBP,"{'weights': 'distance', 'n_neighbors': 19, 'metric': 'euclidean'}",0.8114035087719298,0.8132847080245985,0.8114035087719298,0.810170664575699,0.8300278695962149
Support Vector Machine,Xi23,Enhanced Color+LBP,"{'kernel': 'rbf', 'gamma': 'auto', 'C': 7.742636826811277}",0.8925438596491229,0.8925329218926513,0.8925438596491229,0.8925379117271337,0.8966582409747877
Random Forest,Xi23,Enhanced Color+LBP,"{'n_estimators': 150, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_depth': 30, 'bootstrap': False}",0.8530701754385965,0.853008546176079,0.8530701754385965,0.8530279127973566,0.8408341434960139
K-Nearest Neighbors,Xi23,Enhanced Color+GLCM,"{'weights': 'distance', 'n_neighbors': 11, 'metric': 'euclidean'}",0.8538011695906432,0.8616322278083683,0.8538011695906432,0.8519345426770465,0.8451636528614946
Support Vector Machine,Xi23,Enhanced Color+GLCM,"{'kernel': 'rbf', 'gamma': 'auto', 'C': 7.742636826811277}",0.9334795321637428,0.9337976499891704,0.9334795321637428,0.9335261072516794,0.9294218679110764
Random Forest,Xi23,Enhanced Color+GLCM,"{'n_estimators': 250, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 30, 'bootstrap': False}",0.8808479532163743,0.8807965514032232,0.8808479532163743,0.8807990632408825,0.8732510208049776
K-Nearest Neighbors,Xi23,Enhanced Color+Edge,"{'weights': 'distance', 'n_neighbors': 11, 'metric': 'euclidean'}",0.8399122807017544,0.841180706518607,0.8399122807017544,0.8391637555938554,0.8296668611057101
Support Vector Machine,Xi23,Enhanced Color+Edge,"{'kernel': 'rbf', 'gamma': 'scale', 'C': 100.0}",0.8866959064327485,0.8868746886203175,0.8866959064327485,0.886746817319096,0.9099773154449412
Random Forest,Xi23,Enhanced Color+Edge,"{'n_estimators': 250, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 30, 'bootstrap': False}",0.8596491228070176,0.8598798169876345,0.8596491228070176,0.859718433370324,0.8595715859744637
K-Nearest Neighbors,Xi23,Zernike moments+LBP,"{'weights': 'distance', 'n_neighbors': 19, 'metric': 'euclidean'}",0.8676900584795322,0.8745911579187202,0.8676900584795322,0.8662078551695418,0.850195735303649
