Model,Dataset,Feature Combination,Best Params,Accuracy,Precision,Recall,F1 Score,CV_scores(5fold)
K-Nearest Neighbors,Xi23,Basic+Enhanced Color,"{'weights': 'distance', 'n_neighbors': 11, 'metric': 'euclidean'}",0.9334795321637427,0.9336783151534388,0.9334795321637427,0.9333971689820701,0.9261740877568215
Support Vector Machine,Xi23,Basic+Enhanced Color,"{'kernel': 'rbf', 'gamma': 'auto', 'C': 7.742636826811277}",0.9568713450292398,0.9569524396929825,0.9568713450292398,0.9568867448203455,0.9603895262168644
Random Forest,Xi23,Basic+Enhanced Color,"{'n_estimators': 250, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 30, 'bootstrap': False}",0.9334795321637427,0.9340414863837051,0.9334795321637427,0.9335402075676675,0.9387769784172664
K-Nearest Neighbors,Xi23,Basic+Zernike moments,"{'weights': 'uniform', 'n_neighbors': 9, 'metric': 'manhattan'}",0.929093567251462,0.9297446950152113,0.929093567251462,0.9289358601238401,0.9193350184717092
Support Vector Machine,Xi23,Basic+Zernike moments,"{'kernel': 'rbf', 'gamma': 'auto', 'C': 7.742636826811277}",0.9656432748538012,0.9656635676855815,0.9656432748538012,0.9656487560642119,0.964709313630177
Random Forest,Xi23,Basic+Zernike moments,"{'n_estimators': 250, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 30, 'bootstrap': False}",0.9334795321637427,0.9335097735704351,0.9334795321637427,0.93349014472007,0.9243722859550199
K-Nearest Neighbors,Xi23,Basic+LBP,"{'weights': 'distance', 'n_neighbors': 11, 'metric': 'manhattan'}",0.9064327485380117,0.906833578753161,0.9064327485380117,0.9062490977492801,0.9106947955149394
Support Vector Machine,Xi23,Basic+LBP,"{'kernel': 'rbf', 'gamma': 'auto', 'C': 7.742636826811277}",0.9532163742690059,0.9532206789824519,0.9532163742690059,0.9532000733541168,0.9463432497245445
Random Forest,Xi23,Basic+LBP,"{'n_estimators': 250, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_depth': 20, 'bootstrap': False}",0.9247076023391813,0.9249685185344002,0.9247076023391813,0.924754349408595,0.9229347332944455
K-Nearest Neighbors,Xi23,Basic+GLCM,"{'weights': 'uniform', 'n_neighbors': 9, 'metric': 'manhattan'}",0.9122807017543859,0.9134552666478929,0.9122807017543859,0.9119940373810342,0.9078067275909003
Support Vector Machine,Xi23,Basic+GLCM,"{'kernel': 'rbf', 'gamma': 'auto', 'C': 7.742636826811277}",0.9583333333333334,0.9583297502751789,0.9583333333333334,0.9583310269962356,0.9445459848337545
Random Forest,Xi23,Basic+GLCM,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_depth': None, 'bootstrap': False}",0.9269005847953217,0.9271918372784048,0.9269005847953217,0.926948907726046,0.9265357443774709
K-Nearest Neighbors,Xi23,Basic+Edge,"{'weights': 'uniform', 'n_neighbors': 9, 'metric': 'manhattan'}",0.9203216374269005,0.9204826198480762,0.9203216374269005,0.9202229826268752,0.9207797005638731
Support Vector Machine,Xi23,Basic+Edge,"{'kernel': 'rbf', 'gamma': 'auto', 'C': 7.742636826811277}",0.9568713450292398,0.9569194825966448,0.9568713450292398,0.9568825787720725,0.9521077192300215
Random Forest,Xi23,Basic+Edge,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': None, 'bootstrap': False}",0.9217836257309941,0.9221152804851636,0.9217836257309941,0.9218383898453814,0.9250949510661741
K-Nearest Neighbors,Xi23,Enhanced Color+Zernike moments,"{'weights': 'uniform', 'n_neighbors': 9, 'metric': 'manhattan'}",0.8998538011695907,0.9042338270944043,0.8998538011695907,0.8991033783057937,0.9034940696091777
Support Vector Machine,Xi23,Enhanced Color+Zernike moments,"{'kernel': 'rbf', 'gamma': 'auto', 'C': 7.742636826811277}",0.956140350877193,0.956372541498533,0.956140350877193,0.9560893354664576,0.9585909650657852
Random Forest,Xi23,Enhanced Color+Zernike moments,"{'n_estimators': 250, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 30, 'bootstrap': False}",0.9217836257309941,0.9222162555045393,0.9217836257309941,0.9216367472920722,0.9175384017110636
K-Nearest Neighbors,Xi23,Enhanced Color+LBP,"{'weights': 'distance', 'n_neighbors': 19, 'metric': 'euclidean'}",0.8114035087719298,0.8132847080245985,0.8114035087719298,0.810170664575699,0.8300278695962149
Support Vector Machine,Xi23,Enhanced Color+LBP,"{'kernel': 'rbf', 'gamma': 'auto', 'C': 7.742636826811277}",0.8925438596491229,0.8925329218926513,0.8925438596491229,0.8925379117271337,0.8966582409747877
Random Forest,Xi23,Enhanced Color+LBP,"{'n_estimators': 150, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_depth': 30, 'bootstrap': False}",0.8530701754385965,0.853008546176079,0.8530701754385965,0.8530279127973566,0.8408341434960139
K-Nearest Neighbors,Xi23,Enhanced Color+GLCM,"{'weights': 'distance', 'n_neighbors': 11, 'metric': 'euclidean'}",0.8538011695906432,0.8616322278083683,0.8538011695906432,0.8519345426770465,0.8451636528614946
Support Vector Machine,Xi23,Enhanced Color+GLCM,"{'kernel': 'rbf', 'gamma': 'auto', 'C': 7.742636826811277}",0.9334795321637427,0.9337976499891705,0.9334795321637427,0.9335261072516794,0.9294218679110765
Random Forest,Xi23,Enhanced Color+GLCM,"{'n_estimators': 250, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 30, 'bootstrap': False}",0.8808479532163743,0.8807965514032232,0.8808479532163743,0.8807990632408825,0.8732510208049776
K-Nearest Neighbors,Xi23,Enhanced Color+Edge,"{'weights': 'distance', 'n_neighbors': 11, 'metric': 'euclidean'}",0.8399122807017544,0.841180706518607,0.8399122807017544,0.8391637555938554,0.8296668611057101
Support Vector Machine,Xi23,Enhanced Color+Edge,"{'kernel': 'rbf', 'gamma': 'scale', 'C': 100.0}",0.8866959064327485,0.8868746886203175,0.8866959064327485,0.886746817319096,0.9099773154449412
Random Forest,Xi23,Enhanced Color+Edge,"{'n_estimators': 250, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 30, 'bootstrap': False}",0.8596491228070176,0.8598798169876345,0.8596491228070176,0.859718433370324,0.8595715859744637
K-Nearest Neighbors,Xi23,Zernike moments+LBP,"{'weights': 'distance', 'n_neighbors': 19, 'metric': 'euclidean'}",0.8676900584795322,0.8745911579187202,0.8676900584795322,0.8662078551695418,0.850195735303649
Support Vector Machine,Xi23,Zernike moments+LBP,"{'kernel': 'rbf', 'gamma': 'auto', 'C': 7.742636826811277}",0.8969298245614035,0.8971823060941828,0.8969298245614035,0.8967534386998465,0.8908911789487328
Random Forest,Xi23,Zernike moments+LBP,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 20, 'bootstrap': False}",0.8830409356725146,0.8832085438256038,0.8830409356725146,0.8828503266392123,0.8685663361202929
K-Nearest Neighbors,Xi23,Zernike moments+GLCM,"{'weights': 'uniform', 'n_neighbors': 13, 'metric': 'euclidean'}",0.8508771929824561,0.8634798093047985,0.8508771929824561,0.8482174727863202,0.8393952945751508
Support Vector Machine,Xi23,Zernike moments+GLCM,"{'kernel': 'rbf', 'gamma': 'auto', 'C': 7.742636826811277}",0.9049707602339181,0.905223766562834,0.9049707602339181,0.9048158903943601,0.8818789292890014
Random Forest,Xi23,Zernike moments+GLCM,"{'n_estimators': 250, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 30, 'bootstrap': False}",0.8728070175438597,0.8737579849661422,0.8728070175438597,0.8723653742888181,0.8498353749432885
K-Nearest Neighbors,Xi23,Zernike moments+Edge,"{'weights': 'distance', 'n_neighbors': 11, 'metric': 'euclidean'}",0.8633040935672515,0.8703654470417499,0.8633040935672515,0.8617263436809076,0.8498327824227104
Support Vector Machine,Xi23,Zernike moments+Edge,"{'kernel': 'rbf', 'gamma': 'auto', 'C': 7.742636826811277}",0.8983918128654971,0.899270225030119,0.8983918128654971,0.8980900410886317,0.8764819495754749
Random Forest,Xi23,Zernike moments+Edge,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': None, 'bootstrap': False}",0.8720760233918129,0.8734642334634363,0.8720760233918129,0.8715358812449829,0.857038045239484
K-Nearest Neighbors,Xi23,LBP+GLCM,"{'weights': 'distance', 'n_neighbors': 11, 'metric': 'euclidean'}",0.7214912280701754,0.7239407302081766,0.7214912280701754,0.7179850631311426,0.7349594918659668
Support Vector Machine,Xi23,LBP+GLCM,"{'kernel': 'rbf', 'gamma': 'auto', 'C': 7.742636826811277}",0.8004385964912281,0.8003465347212211,0.8004385964912281,0.800029736598144,0.7947404238771145
