Model,Dataset,Feature Combination,Accuracy,Precision,Recall,F1 Score,CV_scores(5fold)
K-Nearest Neighbors,Huong_thom-1,LBP+GLCM+Edge+Edge2,0.7382,0.7501,0.7382,0.7359,0.7454
Support Vector Machine,Huong_thom-1,LBP+GLCM+Edge+Edge2,0.7965,0.7975,0.7965,0.7964,0.8015
Random Forest,Huong_thom-1,LBP+GLCM+Edge+Edge2,0.7684,0.7687,0.7684,0.7684,0.772
K-Nearest Neighbors,Huong_thom-1,Basic+Enhanced Color+Zernike moments+LBP+GLCM,0.8547,0.8672,0.8547,0.8538,0.8644
Support Vector Machine,Huong_thom-1,Basic+Enhanced Color+Zernike moments+LBP+GLCM,0.9242,0.9256,0.9242,0.9242,0.9308
Random Forest,Huong_thom-1,Basic+Enhanced Color+Zernike moments+LBP+GLCM,0.8863,0.8865,0.8863,0.8863,0.8883
K-Nearest Neighbors,Huong_thom-1,Basic+Enhanced Color+Zernike moments+LBP+Edge,0.8639,0.8749,0.8639,0.8631,0.8699
Support Vector Machine,Huong_thom-1,Basic+Enhanced Color+Zernike moments+LBP+Edge,0.9277,0.9291,0.9277,0.9277,0.9239
Random Forest,Huong_thom-1,Basic+Enhanced Color+Zernike moments+LBP+Edge,0.8842,0.8848,0.8842,0.8842,0.8914
K-Nearest Neighbors,Huong_thom-1,Basic+Enhanced Color+Zernike moments+LBP+Edge2,0.8561,0.8661,0.8561,0.8554,0.871
Support Vector Machine,Huong_thom-1,Basic+Enhanced Color+Zernike moments+LBP+Edge2,0.9249,0.926,0.9249,0.9249,0.9246
Random Forest,Huong_thom-1,Basic+Enhanced Color+Zernike moments+LBP+Edge2,0.8884,0.8889,0.8884,0.8884,0.8883
K-Nearest Neighbors,Huong_thom-1,Basic+Enhanced Color+Zernike moments+GLCM+Edge,0.8575,0.8693,0.8575,0.8567,0.8679
Support Vector Machine,Huong_thom-1,Basic+Enhanced Color+Zernike moments+GLCM+Edge,0.9284,0.93,0.9284,0.9284,0.9326
Random Forest,Huong_thom-1,Basic+Enhanced Color+Zernike moments+GLCM+Edge,0.8891,0.8894,0.8891,0.8891,0.889
K-Nearest Neighbors,Huong_thom-1,Basic+Enhanced Color+Zernike moments+GLCM+Edge2,0.8568,0.8673,0.8568,0.8561,0.8675
Support Vector Machine,Huong_thom-1,Basic+Enhanced Color+Zernike moments+GLCM+Edge2,0.927,0.9283,0.927,0.927,0.9322
Random Forest,Huong_thom-1,Basic+Enhanced Color+Zernike moments+GLCM+Edge2,0.8793,0.8794,0.8793,0.8793,0.8897
K-Nearest Neighbors,Huong_thom-1,Basic+Enhanced Color+Zernike moments+Edge+Edge2,0.8596,0.8685,0.8596,0.859,0.8627
Support Vector Machine,Huong_thom-1,Basic+Enhanced Color+Zernike moments+Edge+Edge2,0.9284,0.93,0.9284,0.9284,0.9204
Random Forest,Huong_thom-1,Basic+Enhanced Color+Zernike moments+Edge+Edge2,0.8814,0.8817,0.8814,0.8814,0.8883
K-Nearest Neighbors,Huong_thom-1,Basic+Enhanced Color+LBP+GLCM+Edge,0.8386,0.8523,0.8386,0.8374,0.8603
Support Vector Machine,Huong_thom-1,Basic+Enhanced Color+LBP+GLCM+Edge,0.9158,0.9183,0.9158,0.9157,0.927
Random Forest,Huong_thom-1,Basic+Enhanced Color+LBP+GLCM+Edge,0.8877,0.8884,0.8877,0.8877,0.889
K-Nearest Neighbors,Huong_thom-1,Basic+Enhanced Color+LBP+GLCM+Edge2,0.8407,0.8535,0.8407,0.8396,0.862
Support Vector Machine,Huong_thom-1,Basic+Enhanced Color+LBP+GLCM+Edge2,0.9144,0.9175,0.9144,0.9143,0.9249
Random Forest,Huong_thom-1,Basic+Enhanced Color+LBP+GLCM+Edge2,0.8758,0.8762,0.8758,0.8758,0.8862
K-Nearest Neighbors,Huong_thom-1,Basic+Enhanced Color+LBP+Edge+Edge2,0.84,0.8507,0.84,0.8391,0.8558
Support Vector Machine,Huong_thom-1,Basic+Enhanced Color+LBP+Edge+Edge2,0.9123,0.9159,0.9123,0.9122,0.9211
Random Forest,Huong_thom-1,Basic+Enhanced Color+LBP+Edge+Edge2,0.8828,0.8828,0.8828,0.8828,0.8872
K-Nearest Neighbors,Huong_thom-1,Basic+Enhanced Color+GLCM+Edge+Edge2,0.8421,0.8574,0.8421,0.8408,0.8571
Support Vector Machine,Huong_thom-1,Basic+Enhanced Color+GLCM+Edge+Edge2,0.9137,0.9167,0.9137,0.9136,0.9256
Random Forest,Huong_thom-1,Basic+Enhanced Color+GLCM+Edge+Edge2,0.8758,0.8763,0.8758,0.8758,0.8904
K-Nearest Neighbors,Huong_thom-1,Basic+Zernike moments+LBP+GLCM+Edge,0.7937,0.8105,0.7937,0.7914,0.7952
Support Vector Machine,Huong_thom-1,Basic+Zernike moments+LBP+GLCM+Edge,0.8618,0.8625,0.8618,0.8618,0.8634
Random Forest,Huong_thom-1,Basic+Zernike moments+LBP+GLCM+Edge,0.8309,0.8309,0.8309,0.8309,0.8316
K-Nearest Neighbors,Huong_thom-1,Basic+Zernike moments+LBP+GLCM+Edge2,0.7972,0.8162,0.7972,0.7947,0.7938
Support Vector Machine,Huong_thom-1,Basic+Zernike moments+LBP+GLCM+Edge2,0.8611,0.8617,0.8611,0.8611,0.861
Random Forest,Huong_thom-1,Basic+Zernike moments+LBP+GLCM+Edge2,0.8302,0.8302,0.8302,0.8302,0.8233
K-Nearest Neighbors,Huong_thom-1,Basic+Zernike moments+LBP+Edge+Edge2,0.7979,0.8117,0.7979,0.7962,0.7873
Support Vector Machine,Huong_thom-1,Basic+Zernike moments+LBP+Edge+Edge2,0.8512,0.8518,0.8512,0.8512,0.8464
Random Forest,Huong_thom-1,Basic+Zernike moments+LBP+Edge+Edge2,0.8379,0.838,0.8379,0.8378,0.8184
K-Nearest Neighbors,Huong_thom-1,Basic+Zernike moments+GLCM+Edge+Edge2,0.8035,0.8245,0.8035,0.8009,0.7949
Support Vector Machine,Huong_thom-1,Basic+Zernike moments+GLCM+Edge+Edge2,0.8695,0.8703,0.8695,0.8695,0.8675
Random Forest,Huong_thom-1,Basic+Zernike moments+GLCM+Edge+Edge2,0.8449,0.8449,0.8449,0.8449,0.8364
K-Nearest Neighbors,Huong_thom-1,Basic+LBP+GLCM+Edge+Edge2,0.7544,0.7778,0.7544,0.75,0.7575
Support Vector Machine,Huong_thom-1,Basic+LBP+GLCM+Edge+Edge2,0.8379,0.8387,0.8379,0.8379,0.8537
Random Forest,Huong_thom-1,Basic+LBP+GLCM+Edge+Edge2,0.8175,0.8177,0.8175,0.8176,0.8347
K-Nearest Neighbors,Huong_thom-1,Enhanced Color+Zernike moments+LBP+GLCM+Edge,0.8519,0.8624,0.8519,0.8511,0.8665
Support Vector Machine,Huong_thom-1,Enhanced Color+Zernike moments+LBP+GLCM+Edge,0.9298,0.9311,0.9298,0.9298,0.935
Random Forest,Huong_thom-1,Enhanced Color+Zernike moments+LBP+GLCM+Edge,0.8828,0.883,0.8828,0.8828,0.8855
K-Nearest Neighbors,Huong_thom-1,Enhanced Color+Zernike moments+LBP+GLCM+Edge2,0.847,0.8587,0.847,0.8461,0.8693
Support Vector Machine,Huong_thom-1,Enhanced Color+Zernike moments+LBP+GLCM+Edge2,0.9263,0.9275,0.9263,0.9263,0.9353
Random Forest,Huong_thom-1,Enhanced Color+Zernike moments+LBP+GLCM+Edge2,0.8828,0.883,0.8828,0.8828,0.8831
K-Nearest Neighbors,Huong_thom-1,Enhanced Color+Zernike moments+LBP+Edge+Edge2,0.854,0.8644,0.854,0.8533,0.8648
Support Vector Machine,Huong_thom-1,Enhanced Color+Zernike moments+LBP+Edge+Edge2,0.9284,0.9301,0.9284,0.9284,0.9194
Random Forest,Huong_thom-1,Enhanced Color+Zernike moments+LBP+Edge+Edge2,0.8821,0.8822,0.8821,0.8821,0.8852
K-Nearest Neighbors,Huong_thom-1,Enhanced Color+Zernike moments+GLCM+Edge+Edge2,0.8491,0.8607,0.8491,0.8482,0.8578
Support Vector Machine,Huong_thom-1,Enhanced Color+Zernike moments+GLCM+Edge+Edge2,0.9284,0.9303,0.9284,0.9284,0.9239
Random Forest,Huong_thom-1,Enhanced Color+Zernike moments+GLCM+Edge+Edge2,0.8758,0.876,0.8758,0.8758,0.8838
K-Nearest Neighbors,Huong_thom-1,Enhanced Color+LBP+GLCM+Edge+Edge2,0.8393,0.8479,0.8393,0.8386,0.8547
Support Vector Machine,Huong_thom-1,Enhanced Color+LBP+GLCM+Edge+Edge2,0.9123,0.9147,0.9123,0.9122,0.9215
Random Forest,Huong_thom-1,Enhanced Color+LBP+GLCM+Edge+Edge2,0.8786,0.8786,0.8786,0.8786,0.8834
K-Nearest Neighbors,Huong_thom-1,Zernike moments+LBP+GLCM+Edge+Edge2,0.7881,0.8059,0.7881,0.7856,0.7786
Support Vector Machine,Huong_thom-1,Zernike moments+LBP+GLCM+Edge+Edge2,0.8456,0.8464,0.8456,0.8456,0.8502
Random Forest,Huong_thom-1,Zernike moments+LBP+GLCM+Edge+Edge2,0.8182,0.8183,0.8182,0.8183,0.8201
K-Nearest Neighbors,Huong_thom-1,Basic+Enhanced Color+Zernike moments+LBP+GLCM+Edge,0.8526,0.8652,0.8526,0.8517,0.8672
Support Vector Machine,Huong_thom-1,Basic+Enhanced Color+Zernike moments+LBP+GLCM+Edge,0.927,0.9284,0.927,0.927,0.9332
Random Forest,Huong_thom-1,Basic+Enhanced Color+Zernike moments+LBP+GLCM+Edge,0.8912,0.8914,0.8912,0.8912,0.8893
K-Nearest Neighbors,Huong_thom-1,Basic+Enhanced Color+Zernike moments+LBP+GLCM+Edge2,0.8477,0.8596,0.8477,0.8468,0.8655
Support Vector Machine,Huong_thom-1,Basic+Enhanced Color+Zernike moments+LBP+GLCM+Edge2,0.9235,0.9249,0.9235,0.9235,0.9329
Random Forest,Huong_thom-1,Basic+Enhanced Color+Zernike moments+LBP+GLCM+Edge2,0.8842,0.8843,0.8842,0.8842,0.8869
K-Nearest Neighbors,Huong_thom-1,Basic+Enhanced Color+Zernike moments+LBP+Edge+Edge2,0.8589,0.87,0.8589,0.8582,0.863
Support Vector Machine,Huong_thom-1,Basic+Enhanced Color+Zernike moments+LBP+Edge+Edge2,0.9242,0.9255,0.9242,0.9242,0.9218
Random Forest,Huong_thom-1,Basic+Enhanced Color+Zernike moments+LBP+Edge+Edge2,0.8884,0.8886,0.8884,0.8884,0.8841
K-Nearest Neighbors,Huong_thom-1,Basic+Enhanced Color+Zernike moments+GLCM+Edge+Edge2,0.8575,0.8686,0.8575,0.8567,0.8565
Support Vector Machine,Huong_thom-1,Basic+Enhanced Color+Zernike moments+GLCM+Edge+Edge2,0.9256,0.9273,0.9256,0.9256,0.9298
Random Forest,Huong_thom-1,Basic+Enhanced Color+Zernike moments+GLCM+Edge+Edge2,0.8842,0.8844,0.8842,0.8842,0.8872
K-Nearest Neighbors,Huong_thom-1,Basic+Enhanced Color+LBP+GLCM+Edge+Edge2,0.8393,0.8517,0.8393,0.8382,0.8575
Support Vector Machine,Huong_thom-1,Basic+Enhanced Color+LBP+GLCM+Edge+Edge2,0.9158,0.9187,0.9158,0.9157,0.9242
Random Forest,Huong_thom-1,Basic+Enhanced Color+LBP+GLCM+Edge+Edge2,0.8779,0.8783,0.8779,0.8779,0.8838
K-Nearest Neighbors,Huong_thom-1,Basic+Zernike moments+LBP+GLCM+Edge+Edge2,0.7972,0.8157,0.7972,0.7948,0.7904
Support Vector Machine,Huong_thom-1,Basic+Zernike moments+LBP+GLCM+Edge+Edge2,0.8632,0.8636,0.8632,0.8632,0.8606
Random Forest,Huong_thom-1,Basic+Zernike moments+LBP+GLCM+Edge+Edge2,0.8323,0.8323,0.8323,0.8323,0.8319
K-Nearest Neighbors,Huong_thom-1,Enhanced Color+Zernike moments+LBP+GLCM+Edge+Edge2,0.8477,0.8585,0.8477,0.8469,0.861
Support Vector Machine,Huong_thom-1,Enhanced Color+Zernike moments+LBP+GLCM+Edge+Edge2,0.927,0.9283,0.927,0.927,0.9315
Random Forest,Huong_thom-1,Enhanced Color+Zernike moments+LBP+GLCM+Edge+Edge2,0.8793,0.8793,0.8793,0.8793,0.8845
K-Nearest Neighbors,Huong_thom-1,Basic+Enhanced Color+Zernike moments+LBP+GLCM+Edge+Edge2,0.8491,0.8614,0.8491,0.8481,0.8606
Support Vector Machine,Huong_thom-1,Basic+Enhanced Color+Zernike moments+LBP+GLCM+Edge+Edge2,0.9291,0.9305,0.9291,0.9291,0.9319
Random Forest,Huong_thom-1,Basic+Enhanced Color+Zernike moments+LBP+GLCM+Edge+Edge2,0.8856,0.8856,0.8856,0.8856,0.8869
K-Nearest Neighbors,Nep-87,Basic,0.9461,0.9479,0.9461,0.9461,0.9635
Support Vector Machine,Nep-87,Basic,0.9556,0.9567,0.9556,0.9557,0.9646
Random Forest,Nep-87,Basic,0.9483,0.9487,0.9483,0.9483,0.9589
K-Nearest Neighbors,Nep-87,Enhanced Color,0.7793,0.8087,0.7793,0.775,0.7849
Support Vector Machine,Nep-87,Enhanced Color,0.9113,0.9115,0.9113,0.9113,0.9156
Random Forest,Nep-87,Enhanced Color,0.8775,0.8775,0.8775,0.8775,0.8797
K-Nearest Neighbors,Nep-87,Zernike moments,0.9356,0.9357,0.9356,0.9356,0.9495
Support Vector Machine,Nep-87,Zernike moments,0.9483,0.9496,0.9483,0.9483,0.9594
Random Forest,Nep-87,Zernike moments,0.9461,0.9468,0.9461,0.9462,0.9589
K-Nearest Neighbors,Nep-87,LBP,0.7138,0.7152,0.7138,0.7138,0.7422
Support Vector Machine,Nep-87,LBP,0.7392,0.7406,0.7392,0.7391,0.7776
Random Forest,Nep-87,LBP,0.7223,0.7224,0.7223,0.7223,0.7536
K-Nearest Neighbors,Nep-87,GLCM,0.8923,0.893,0.8923,0.8923,0.8979
Support Vector Machine,Nep-87,GLCM,0.9187,0.9187,0.9187,0.9187,0.9276
Random Forest,Nep-87,GLCM,0.9018,0.9018,0.9018,0.9018,0.913
K-Nearest Neighbors,Nep-87,Edge,0.8838,0.8838,0.8838,0.8838,0.8927
Support Vector Machine,Nep-87,Edge,0.8923,0.8923,0.8923,0.8923,0.9026
Random Forest,Nep-87,Edge,0.8838,0.8839,0.8838,0.8838,0.8927
K-Nearest Neighbors,Nep-87,Edge2,0.8564,0.8569,0.8564,0.8564,0.876
Support Vector Machine,Nep-87,Edge2,0.8733,0.8733,0.8733,0.8733,0.8839
Random Forest,Nep-87,Edge2,0.8585,0.8586,0.8585,0.8585,0.862
K-Nearest Neighbors,Nep-87,Basic+Enhanced Color,0.944,0.9463,0.944,0.944,0.9505
Support Vector Machine,Nep-87,Basic+Enhanced Color,0.9842,0.9842,0.9842,0.9842,0.9854
Random Forest,Nep-87,Basic+Enhanced Color,0.9747,0.9747,0.9747,0.9747,0.9714
K-Nearest Neighbors,Nep-87,Basic+Zernike moments,0.9514,0.9525,0.9514,0.9514,0.962
Support Vector Machine,Nep-87,Basic+Zernike moments,0.9578,0.9585,0.9578,0.9578,0.9724
Random Forest,Nep-87,Basic+Zernike moments,0.9493,0.9495,0.9493,0.9493,0.9656
K-Nearest Neighbors,Nep-87,Basic+LBP,0.9451,0.9463,0.9451,0.9451,0.9635
Support Vector Machine,Nep-87,Basic+LBP,0.9514,0.9523,0.9514,0.9514,0.9688
Random Forest,Nep-87,Basic+LBP,0.9493,0.95,0.9493,0.9493,0.9594
K-Nearest Neighbors,Nep-87,Basic+GLCM,0.9461,0.9479,0.9461,0.9461,0.9589
Support Vector Machine,Nep-87,Basic+GLCM,0.9588,0.9593,0.9588,0.9588,0.9714
Random Forest,Nep-87,Basic+GLCM,0.9504,0.9509,0.9504,0.9504,0.962
K-Nearest Neighbors,Nep-87,Basic+Edge,0.9504,0.9517,0.9504,0.9504,0.9589
Support Vector Machine,Nep-87,Basic+Edge,0.9588,0.9599,0.9588,0.9588,0.9661
Random Forest,Nep-87,Basic+Edge,0.9504,0.9506,0.9504,0.9504,0.962
K-Nearest Neighbors,Nep-87,Basic+Edge2,0.9504,0.9517,0.9504,0.9504,0.9609
Support Vector Machine,Nep-87,Basic+Edge2,0.9514,0.9529,0.9514,0.9514,0.9661
Random Forest,Nep-87,Basic+Edge2,0.9525,0.9531,0.9525,0.9525,0.9635
K-Nearest Neighbors,Nep-87,Enhanced Color+Zernike moments,0.9514,0.9525,0.9514,0.9514,0.9656
Support Vector Machine,Nep-87,Enhanced Color+Zernike moments,0.981,0.9811,0.981,0.981,0.9875
Random Forest,Nep-87,Enhanced Color+Zernike moments,0.9673,0.9674,0.9673,0.9673,0.9682
K-Nearest Neighbors,Nep-87,Enhanced Color+LBP,0.7856,0.8075,0.7856,0.7827,0.788
Support Vector Machine,Nep-87,Enhanced Color+LBP,0.9124,0.9124,0.9124,0.9124,0.9234
Random Forest,Nep-87,Enhanced Color+LBP,0.8796,0.8799,0.8796,0.8796,0.8828
K-Nearest Neighbors,Nep-87,Enhanced Color+GLCM,0.8501,0.862,0.8501,0.8492,0.8552
Support Vector Machine,Nep-87,Enhanced Color+GLCM,0.962,0.9621,0.962,0.962,0.9615
Random Forest,Nep-87,Enhanced Color+GLCM,0.943,0.9432,0.943,0.943,0.9339
K-Nearest Neighbors,Nep-87,Enhanced Color+Edge,0.8828,0.89,0.8828,0.8825,0.8786
Support Vector Machine,Nep-87,Enhanced Color+Edge,0.9525,0.9526,0.9525,0.9525,0.9578
Random Forest,Nep-87,Enhanced Color+Edge,0.9219,0.9219,0.9219,0.9218,0.9193
K-Nearest Neighbors,Nep-87,Enhanced Color+Edge2,0.8743,0.8829,0.8743,0.8739,0.8714
Support Vector Machine,Nep-87,Enhanced Color+Edge2,0.9409,0.9409,0.9409,0.9409,0.9542
Random Forest,Nep-87,Enhanced Color+Edge2,0.9166,0.9167,0.9166,0.9166,0.9151
K-Nearest Neighbors,Nep-87,Zernike moments+LBP,0.943,0.9435,0.943,0.943,0.962
Support Vector Machine,Nep-87,Zernike moments+LBP,0.9599,0.9607,0.9599,0.9599,0.9729
Random Forest,Nep-87,Zernike moments+LBP,0.9461,0.9465,0.9461,0.9462,0.963
K-Nearest Neighbors,Nep-87,Zernike moments+GLCM,0.9409,0.9411,0.9409,0.9409,0.9547
Support Vector Machine,Nep-87,Zernike moments+GLCM,0.9556,0.9559,0.9556,0.9557,0.9708
Random Forest,Nep-87,Zernike moments+GLCM,0.943,0.9434,0.943,0.943,0.9625
K-Nearest Neighbors,Nep-87,Zernike moments+Edge,0.9398,0.9398,0.9398,0.9398,0.95
Support Vector Machine,Nep-87,Zernike moments+Edge,0.9483,0.9489,0.9483,0.9483,0.9599
Random Forest,Nep-87,Zernike moments+Edge,0.9493,0.9495,0.9493,0.9493,0.9562
K-Nearest Neighbors,Nep-87,Zernike moments+Edge2,0.9398,0.9399,0.9398,0.9398,0.949
Support Vector Machine,Nep-87,Zernike moments+Edge2,0.9493,0.9499,0.9493,0.9493,0.9594
Random Forest,Nep-87,Zernike moments+Edge2,0.9483,0.9484,0.9483,0.9483,0.9568
K-Nearest Neighbors,Nep-87,LBP+GLCM,0.8553,0.8569,0.8553,0.8553,0.8849
Support Vector Machine,Nep-87,LBP+GLCM,0.9282,0.9282,0.9282,0.9282,0.9339
Random Forest,Nep-87,LBP+GLCM,0.905,0.905,0.905,0.9049,0.9078
K-Nearest Neighbors,Nep-87,LBP+Edge,0.8838,0.8843,0.8838,0.8839,0.9036
Support Vector Machine,Nep-87,LBP+Edge,0.9092,0.9096,0.9092,0.9092,0.925
Random Forest,Nep-87,LBP+Edge,0.8986,0.8986,0.8986,0.8986,0.8995
K-Nearest Neighbors,Nep-87,LBP+Edge2,0.8838,0.8848,0.8838,0.8838,0.8896
Support Vector Machine,Nep-87,LBP+Edge2,0.9018,0.9025,0.9018,0.9018,0.9219
Random Forest,Nep-87,LBP+Edge2,0.8817,0.8823,0.8817,0.8817,0.8854
K-Nearest Neighbors,Nep-87,GLCM+Edge,0.8976,0.8978,0.8976,0.8976,0.913
Support Vector Machine,Nep-87,GLCM+Edge,0.9282,0.9282,0.9282,0.9282,0.9365
Random Forest,Nep-87,GLCM+Edge,0.9102,0.9102,0.9102,0.9102,0.9177
K-Nearest Neighbors,Nep-87,GLCM+Edge2,0.8849,0.885,0.8849,0.8849,0.9083
Support Vector Machine,Nep-87,GLCM+Edge2,0.9197,0.9198,0.9197,0.9198,0.9292
Random Forest,Nep-87,GLCM+Edge2,0.8912,0.8913,0.8912,0.8912,0.9052
K-Nearest Neighbors,Nep-87,Edge+Edge2,0.8902,0.8902,0.8902,0.8902,0.8927
Support Vector Machine,Nep-87,Edge+Edge2,0.8933,0.8933,0.8933,0.8933,0.9021
Random Forest,Nep-87,Edge+Edge2,0.886,0.886,0.886,0.8859,0.8917
K-Nearest Neighbors,Nep-87,Basic+Enhanced Color+Zernike moments,0.9483,0.9494,0.9483,0.9483,0.9682
Support Vector Machine,Nep-87,Basic+Enhanced Color+Zernike moments,0.9799,0.9801,0.9799,0.9799,0.987
Random Forest,Nep-87,Basic+Enhanced Color+Zernike moments,0.9715,0.9717,0.9715,0.9715,0.9703
K-Nearest Neighbors,Nep-87,Basic+Enhanced Color+LBP,0.9398,0.9423,0.9398,0.9398,0.9474
Support Vector Machine,Nep-87,Basic+Enhanced Color+LBP,0.9863,0.9864,0.9863,0.9863,0.9865
Random Forest,Nep-87,Basic+Enhanced Color+LBP,0.9725,0.9726,0.9725,0.9725,0.9688
K-Nearest Neighbors,Nep-87,Basic+Enhanced Color+GLCM,0.9409,0.9435,0.9409,0.9408,0.9453
Support Vector Machine,Nep-87,Basic+Enhanced Color+GLCM,0.9863,0.9864,0.9863,0.9863,0.9865
Random Forest,Nep-87,Basic+Enhanced Color+GLCM,0.9694,0.9696,0.9694,0.9694,0.9698
K-Nearest Neighbors,Nep-87,Basic+Enhanced Color+Edge,0.944,0.9469,0.944,0.944,0.9589
Support Vector Machine,Nep-87,Basic+Enhanced Color+Edge,0.9831,0.9831,0.9831,0.9831,0.987
Random Forest,Nep-87,Basic+Enhanced Color+Edge,0.9725,0.9726,0.9725,0.9725,0.9682
K-Nearest Neighbors,Nep-87,Basic+Enhanced Color+Edge2,0.9409,0.9438,0.9409,0.9408,0.9562
Support Vector Machine,Nep-87,Basic+Enhanced Color+Edge2,0.9799,0.98,0.9799,0.9799,0.9885
Random Forest,Nep-87,Basic+Enhanced Color+Edge2,0.9725,0.9728,0.9725,0.9725,0.9682
K-Nearest Neighbors,Nep-87,Basic+Zernike moments+LBP,0.9472,0.9484,0.9472,0.9472,0.9661
Support Vector Machine,Nep-87,Basic+Zernike moments+LBP,0.9556,0.9562,0.9556,0.9557,0.976
Random Forest,Nep-87,Basic+Zernike moments+LBP,0.9451,0.9456,0.9451,0.9451,0.9641
K-Nearest Neighbors,Nep-87,Basic+Zernike moments+GLCM,0.9504,0.9511,0.9504,0.9504,0.9698
Support Vector Machine,Nep-87,Basic+Zernike moments+GLCM,0.9662,0.9665,0.9662,0.9662,0.9792
Random Forest,Nep-87,Basic+Zernike moments+GLCM,0.9514,0.9517,0.9514,0.9514,0.9656
K-Nearest Neighbors,Nep-87,Basic+Zernike moments+Edge,0.9546,0.9555,0.9546,0.9546,0.9688
Support Vector Machine,Nep-87,Basic+Zernike moments+Edge,0.963,0.9638,0.963,0.963,0.9729
Random Forest,Nep-87,Basic+Zernike moments+Edge,0.9514,0.9517,0.9514,0.9514,0.9677
K-Nearest Neighbors,Nep-87,Basic+Zernike moments+Edge2,0.9535,0.9548,0.9535,0.9535,0.9698
Support Vector Machine,Nep-87,Basic+Zernike moments+Edge2,0.962,0.9627,0.962,0.962,0.9734
Random Forest,Nep-87,Basic+Zernike moments+Edge2,0.9472,0.9474,0.9472,0.9472,0.9667
K-Nearest Neighbors,Nep-87,Basic+LBP+GLCM,0.9472,0.9488,0.9472,0.9472,0.9615
Support Vector Machine,Nep-87,Basic+LBP+GLCM,0.9525,0.9533,0.9525,0.9525,0.9734
Random Forest,Nep-87,Basic+LBP+GLCM,0.9525,0.9533,0.9525,0.9525,0.962
K-Nearest Neighbors,Nep-87,Basic+LBP+Edge,0.9461,0.9477,0.9461,0.9461,0.9562
Support Vector Machine,Nep-87,Basic+LBP+Edge,0.9599,0.9609,0.9599,0.9599,0.9688
Random Forest,Nep-87,Basic+LBP+Edge,0.9535,0.9539,0.9535,0.9535,0.9599
K-Nearest Neighbors,Nep-87,Basic+LBP+Edge2,0.9461,0.9475,0.9461,0.9461,0.9599
Support Vector Machine,Nep-87,Basic+LBP+Edge2,0.9567,0.9578,0.9567,0.9567,0.9698
Random Forest,Nep-87,Basic+LBP+Edge2,0.9504,0.9509,0.9504,0.9504,0.9625
K-Nearest Neighbors,Nep-87,Basic+GLCM+Edge,0.9483,0.9498,0.9483,0.9483,0.9604
Support Vector Machine,Nep-87,Basic+GLCM+Edge,0.9578,0.9582,0.9578,0.9578,0.9703
Random Forest,Nep-87,Basic+GLCM+Edge,0.9525,0.9529,0.9525,0.9525,0.9635
K-Nearest Neighbors,Nep-87,Basic+GLCM+Edge2,0.9461,0.9479,0.9461,0.9461,0.9635
Support Vector Machine,Nep-87,Basic+GLCM+Edge2,0.9535,0.9542,0.9535,0.9535,0.9714
Random Forest,Nep-87,Basic+GLCM+Edge2,0.9546,0.9554,0.9546,0.9546,0.9625
K-Nearest Neighbors,Nep-87,Basic+Edge+Edge2,0.9472,0.9486,0.9472,0.9472,0.9552
Support Vector Machine,Nep-87,Basic+Edge+Edge2,0.9556,0.9567,0.9556,0.9557,0.9635
Random Forest,Nep-87,Basic+Edge+Edge2,0.9535,0.9539,0.9535,0.9535,0.9599
K-Nearest Neighbors,Nep-87,Enhanced Color+Zernike moments+LBP,0.9493,0.9505,0.9493,0.9493,0.9641
Support Vector Machine,Nep-87,Enhanced Color+Zernike moments+LBP,0.982,0.9821,0.982,0.982,0.9891
Random Forest,Nep-87,Enhanced Color+Zernike moments+LBP,0.9641,0.9641,0.9641,0.9641,0.9703
K-Nearest Neighbors,Nep-87,Enhanced Color+Zernike moments+GLCM,0.9546,0.9557,0.9546,0.9546,0.963
Support Vector Machine,Nep-87,Enhanced Color+Zernike moments+GLCM,0.9863,0.9863,0.9863,0.9863,0.9875
Random Forest,Nep-87,Enhanced Color+Zernike moments+GLCM,0.963,0.9633,0.963,0.963,0.9677
K-Nearest Neighbors,Nep-87,Enhanced Color+Zernike moments+Edge,0.9556,0.9569,0.9556,0.9556,0.9651
Support Vector Machine,Nep-87,Enhanced Color+Zernike moments+Edge,0.9831,0.9831,0.9831,0.9831,0.9875
Random Forest,Nep-87,Enhanced Color+Zernike moments+Edge,0.9652,0.9652,0.9652,0.9652,0.9672
K-Nearest Neighbors,Nep-87,Enhanced Color+Zernike moments+Edge2,0.9525,0.9536,0.9525,0.9525,0.9656
Support Vector Machine,Nep-87,Enhanced Color+Zernike moments+Edge2,0.9842,0.9842,0.9842,0.9842,0.9865
Random Forest,Nep-87,Enhanced Color+Zernike moments+Edge2,0.9641,0.9641,0.9641,0.9641,0.9667
K-Nearest Neighbors,Nep-87,Enhanced Color+LBP+GLCM,0.8427,0.8547,0.8427,0.8417,0.8458
Support Vector Machine,Nep-87,Enhanced Color+LBP+GLCM,0.9609,0.9611,0.9609,0.9609,0.9667
Random Forest,Nep-87,Enhanced Color+LBP+GLCM,0.9335,0.9343,0.9335,0.9334,0.9349
K-Nearest Neighbors,Nep-87,Enhanced Color+LBP+Edge,0.8828,0.89,0.8828,0.8825,0.8693
Support Vector Machine,Nep-87,Enhanced Color+LBP+Edge,0.9588,0.9589,0.9588,0.9588,0.962
Random Forest,Nep-87,Enhanced Color+LBP+Edge,0.9155,0.9156,0.9155,0.9155,0.9229
