Model,Dataset,Feature Combination,Accuracy,Precision,Recall,F1 Score,CV_scores(5fold)
Support Vector Machine,BC-15,Zernike moments+GLCM,0.9033,0.9033,0.9033,0.9033,0.8904
Random Forest,BC-15,Zernike moments+GLCM,0.8421,0.8422,0.8421,0.8421,0.8511
K-Nearest Neighbors,BC-15,Zernike moments+Edge,0.7961,0.8133,0.7961,0.7941,0.7816
Support Vector Machine,BC-15,Zernike moments+Edge,0.8799,0.88,0.8799,0.8799,0.8729
Random Forest,BC-15,Zernike moments+Edge,0.8509,0.8518,0.8509,0.8509,0.8324
K-Nearest Neighbors,BC-15,Zernike moments+Edge2,0.7889,0.8085,0.7889,0.7863,0.7903
Support Vector Machine,BC-15,Zernike moments+Edge2,0.8751,0.8753,0.8751,0.8751,0.8729
Random Forest,BC-15,Zernike moments+Edge2,0.8566,0.8573,0.8566,0.8566,0.8273
K-Nearest Neighbors,BC-15,LBP+GLCM,0.7381,0.7411,0.7381,0.7378,0.7371
Support Vector Machine,BC-15,LBP+GLCM,0.7994,0.7997,0.7994,0.7994,0.7756
Random Forest,BC-15,LBP+GLCM,0.7679,0.768,0.7679,0.768,0.7605
K-Nearest Neighbors,BC-15,LBP+Edge,0.6624,0.6773,0.6624,0.6573,0.6664
Support Vector Machine,BC-15,LBP+Edge,0.7534,0.76,0.7534,0.7525,0.7196
Random Forest,BC-15,LBP+Edge,0.7051,0.707,0.7051,0.7049,0.6863
K-Nearest Neighbors,BC-15,LBP+Edge2,0.6632,0.6727,0.6632,0.6602,0.6581
Support Vector Machine,BC-15,LBP+Edge2,0.7397,0.7422,0.7397,0.7395,0.7149
Random Forest,BC-15,LBP+Edge2,0.7043,0.7047,0.7043,0.7043,0.6716
K-Nearest Neighbors,BC-15,GLCM+Edge,0.7405,0.7422,0.7405,0.7404,0.7232
Support Vector Machine,BC-15,GLCM+Edge,0.7784,0.7785,0.7784,0.7784,0.778
Random Forest,BC-15,GLCM+Edge,0.7655,0.7655,0.7655,0.7655,0.749
K-Nearest Neighbors,BC-15,GLCM+Edge2,0.7421,0.7431,0.7421,0.7421,0.7149
Support Vector Machine,BC-15,GLCM+Edge2,0.7655,0.7655,0.7655,0.7655,0.7689
Random Forest,BC-15,GLCM+Edge2,0.7486,0.7486,0.7486,0.7486,0.7442
K-Nearest Neighbors,BC-15,Edge+Edge2,0.6616,0.6681,0.6616,0.6597,0.6386
Support Vector Machine,BC-15,Edge+Edge2,0.7091,0.7165,0.7091,0.7076,0.6839
Random Forest,BC-15,Edge+Edge2,0.6825,0.6843,0.6825,0.6823,0.6605
K-Nearest Neighbors,BC-15,Basic+Enhanced Color+Zernike moments,0.9049,0.9156,0.9049,0.9045,0.8745
Support Vector Machine,BC-15,Basic+Enhanced Color+Zernike moments,0.967,0.967,0.967,0.967,0.9535
Random Forest,BC-15,Basic+Enhanced Color+Zernike moments,0.946,0.9461,0.946,0.946,0.9297
K-Nearest Neighbors,BC-15,Basic+Enhanced Color+LBP,0.8928,0.9067,0.8928,0.8922,0.8697
Support Vector Machine,BC-15,Basic+Enhanced Color+LBP,0.9541,0.9541,0.9541,0.9541,0.944
Random Forest,BC-15,Basic+Enhanced Color+LBP,0.9492,0.9492,0.9492,0.9492,0.9277
K-Nearest Neighbors,BC-15,Basic+Enhanced Color+GLCM,0.9073,0.917,0.9073,0.907,0.8761
Support Vector Machine,BC-15,Basic+Enhanced Color+GLCM,0.9581,0.9583,0.9581,0.9581,0.9504
Random Forest,BC-15,Basic+Enhanced Color+GLCM,0.9508,0.9509,0.9508,0.9508,0.9329
K-Nearest Neighbors,BC-15,Basic+Enhanced Color+Edge,0.888,0.8994,0.888,0.8875,0.857
Support Vector Machine,BC-15,Basic+Enhanced Color+Edge,0.9581,0.9581,0.9581,0.9581,0.9452
Random Forest,BC-15,Basic+Enhanced Color+Edge,0.9476,0.9476,0.9476,0.9476,0.9317
K-Nearest Neighbors,BC-15,Basic+Enhanced Color+Edge2,0.8936,0.9045,0.8936,0.8932,0.861
Support Vector Machine,BC-15,Basic+Enhanced Color+Edge2,0.9541,0.9541,0.9541,0.9541,0.946
Random Forest,BC-15,Basic+Enhanced Color+Edge2,0.9468,0.947,0.9468,0.9468,0.9269
K-Nearest Neighbors,BC-15,Basic+Zernike moments+LBP,0.8493,0.8619,0.8493,0.8484,0.83
Support Vector Machine,BC-15,Basic+Zernike moments+LBP,0.9299,0.9299,0.9299,0.9299,0.9118
Random Forest,BC-15,Basic+Zernike moments+LBP,0.9017,0.9018,0.9017,0.9017,0.8725
K-Nearest Neighbors,BC-15,Basic+Zernike moments+GLCM,0.8727,0.8827,0.8727,0.8721,0.8519
Support Vector Machine,BC-15,Basic+Zernike moments+GLCM,0.9404,0.9404,0.9404,0.9404,0.9253
Random Forest,BC-15,Basic+Zernike moments+GLCM,0.9057,0.9058,0.9057,0.9057,0.8745
K-Nearest Neighbors,BC-15,Basic+Zernike moments+Edge,0.83,0.8487,0.83,0.8282,0.8225
Support Vector Machine,BC-15,Basic+Zernike moments+Edge,0.9234,0.9235,0.9234,0.9234,0.9146
Random Forest,BC-15,Basic+Zernike moments+Edge,0.9025,0.9027,0.9025,0.9025,0.8713
K-Nearest Neighbors,BC-15,Basic+Zernike moments+Edge2,0.838,0.8578,0.838,0.8363,0.8209
Support Vector Machine,BC-15,Basic+Zernike moments+Edge2,0.9243,0.9243,0.9243,0.9242,0.9166
Random Forest,BC-15,Basic+Zernike moments+Edge2,0.8961,0.8964,0.8961,0.8961,0.8678
K-Nearest Neighbors,BC-15,Basic+LBP+GLCM,0.8396,0.8533,0.8396,0.8385,0.8169
Support Vector Machine,BC-15,Basic+LBP+GLCM,0.8985,0.8986,0.8985,0.8985,0.8797
Random Forest,BC-15,Basic+LBP+GLCM,0.8719,0.8721,0.8719,0.8719,0.8618
K-Nearest Neighbors,BC-15,Basic+LBP+Edge,0.8139,0.8375,0.8139,0.8113,0.7864
Support Vector Machine,BC-15,Basic+LBP+Edge,0.884,0.8847,0.884,0.884,0.8562
Random Forest,BC-15,Basic+LBP+Edge,0.8574,0.8579,0.8574,0.8574,0.8435
K-Nearest Neighbors,BC-15,Basic+LBP+Edge2,0.8179,0.838,0.8179,0.8158,0.7975
Support Vector Machine,BC-15,Basic+LBP+Edge2,0.8912,0.892,0.8912,0.8912,0.8578
Random Forest,BC-15,Basic+LBP+Edge2,0.867,0.8672,0.867,0.8671,0.836
K-Nearest Neighbors,BC-15,Basic+GLCM+Edge,0.834,0.8455,0.834,0.8331,0.8209
Support Vector Machine,BC-15,Basic+GLCM+Edge,0.9033,0.9034,0.9033,0.9033,0.8884
Random Forest,BC-15,Basic+GLCM+Edge,0.8783,0.8786,0.8783,0.8783,0.8622
K-Nearest Neighbors,BC-15,Basic+GLCM+Edge2,0.8396,0.8515,0.8396,0.8387,0.8284
Support Vector Machine,BC-15,Basic+GLCM+Edge2,0.9017,0.902,0.9017,0.9017,0.886
Random Forest,BC-15,Basic+GLCM+Edge2,0.8783,0.8786,0.8783,0.8783,0.8689
K-Nearest Neighbors,BC-15,Basic+Edge+Edge2,0.8163,0.8352,0.8163,0.8143,0.7955
Support Vector Machine,BC-15,Basic+Edge+Edge2,0.8703,0.8712,0.8703,0.8703,0.8431
Random Forest,BC-15,Basic+Edge+Edge2,0.8622,0.8629,0.8622,0.8622,0.8396
K-Nearest Neighbors,BC-15,Enhanced Color+Zernike moments+LBP,0.8783,0.8937,0.8783,0.8775,0.8701
Support Vector Machine,BC-15,Enhanced Color+Zernike moments+LBP,0.9573,0.9573,0.9573,0.9573,0.9504
Random Forest,BC-15,Enhanced Color+Zernike moments+LBP,0.9371,0.9372,0.9371,0.9371,0.9261
K-Nearest Neighbors,BC-15,Enhanced Color+Zernike moments+GLCM,0.8888,0.8991,0.8888,0.8883,0.8689
Support Vector Machine,BC-15,Enhanced Color+Zernike moments+GLCM,0.9541,0.9541,0.9541,0.9541,0.9476
Random Forest,BC-15,Enhanced Color+Zernike moments+GLCM,0.9275,0.9277,0.9275,0.9274,0.9178
K-Nearest Neighbors,BC-15,Enhanced Color+Zernike moments+Edge,0.8783,0.8882,0.8783,0.8778,0.8451
Support Vector Machine,BC-15,Enhanced Color+Zernike moments+Edge,0.9565,0.9565,0.9565,0.9565,0.9464
Random Forest,BC-15,Enhanced Color+Zernike moments+Edge,0.9194,0.9199,0.9194,0.9194,0.913
K-Nearest Neighbors,BC-15,Enhanced Color+Zernike moments+Edge2,0.8775,0.8893,0.8775,0.8769,0.8511
Support Vector Machine,BC-15,Enhanced Color+Zernike moments+Edge2,0.9557,0.9557,0.9557,0.9557,0.9456
Random Forest,BC-15,Enhanced Color+Zernike moments+Edge2,0.9202,0.9206,0.9202,0.9202,0.9118
K-Nearest Neighbors,BC-15,Enhanced Color+LBP+GLCM,0.8582,0.8653,0.8582,0.8578,0.8427
Support Vector Machine,BC-15,Enhanced Color+LBP+GLCM,0.921,0.9212,0.921,0.921,0.9166
Random Forest,BC-15,Enhanced Color+LBP+GLCM,0.8896,0.8898,0.8896,0.8895,0.8832
K-Nearest Neighbors,BC-15,Enhanced Color+LBP+Edge,0.8453,0.8584,0.8453,0.8443,0.8217
Support Vector Machine,BC-15,Enhanced Color+LBP+Edge,0.9267,0.9267,0.9267,0.9267,0.9079
Random Forest,BC-15,Enhanced Color+LBP+Edge,0.8936,0.8938,0.8936,0.8936,0.8813
K-Nearest Neighbors,BC-15,Enhanced Color+LBP+Edge2,0.8477,0.8607,0.8477,0.8467,0.8276
Support Vector Machine,BC-15,Enhanced Color+LBP+Edge2,0.9243,0.9243,0.9243,0.9243,0.9106
Random Forest,BC-15,Enhanced Color+LBP+Edge2,0.8928,0.893,0.8928,0.8928,0.8793
K-Nearest Neighbors,BC-15,Enhanced Color+GLCM+Edge,0.8396,0.847,0.8396,0.8391,0.8415
Support Vector Machine,BC-15,Enhanced Color+GLCM+Edge,0.9267,0.9267,0.9267,0.9267,0.9138
Random Forest,BC-15,Enhanced Color+GLCM+Edge,0.8856,0.8861,0.8856,0.8855,0.8789
K-Nearest Neighbors,BC-15,Enhanced Color+GLCM+Edge2,0.8501,0.854,0.8501,0.8499,0.8463
Support Vector Machine,BC-15,Enhanced Color+GLCM+Edge2,0.9243,0.9243,0.9243,0.9243,0.9142
Random Forest,BC-15,Enhanced Color+GLCM+Edge2,0.8888,0.8892,0.8888,0.8887,0.8757
K-Nearest Neighbors,BC-15,Enhanced Color+Edge+Edge2,0.8259,0.8372,0.8259,0.825,0.8153
Support Vector Machine,BC-15,Enhanced Color+Edge+Edge2,0.9081,0.9082,0.9081,0.9081,0.8991
Random Forest,BC-15,Enhanced Color+Edge+Edge2,0.8687,0.8693,0.8687,0.8685,0.8745
K-Nearest Neighbors,BC-15,Zernike moments+LBP+GLCM,0.8235,0.8385,0.8235,0.8221,0.8209
Support Vector Machine,BC-15,Zernike moments+LBP+GLCM,0.9138,0.9138,0.9138,0.9138,0.9015
Random Forest,BC-15,Zernike moments+LBP+GLCM,0.8646,0.8648,0.8646,0.8646,0.8523
K-Nearest Neighbors,BC-15,Zernike moments+LBP+Edge,0.7897,0.8172,0.7897,0.786,0.7848
Support Vector Machine,BC-15,Zernike moments+LBP+Edge,0.8952,0.8954,0.8952,0.8953,0.8908
Random Forest,BC-15,Zernike moments+LBP+Edge,0.8541,0.8551,0.8541,0.8542,0.8344
K-Nearest Neighbors,BC-15,Zernike moments+LBP+Edge2,0.7929,0.8201,0.7929,0.7894,0.7915
Support Vector Machine,BC-15,Zernike moments+LBP+Edge2,0.892,0.8923,0.892,0.892,0.8892
Random Forest,BC-15,Zernike moments+LBP+Edge2,0.8533,0.8541,0.8533,0.8534,0.842
K-Nearest Neighbors,BC-15,Zernike moments+GLCM+Edge,0.8106,0.8217,0.8106,0.8095,0.7907
Support Vector Machine,BC-15,Zernike moments+GLCM+Edge,0.8969,0.8969,0.8969,0.8968,0.8904
Random Forest,BC-15,Zernike moments+GLCM+Edge,0.8517,0.8519,0.8517,0.8518,0.8419
K-Nearest Neighbors,BC-15,Zernike moments+GLCM+Edge2,0.8114,0.8201,0.8114,0.8106,0.7975
Support Vector Machine,BC-15,Zernike moments+GLCM+Edge2,0.8969,0.8969,0.8969,0.8969,0.8852
Random Forest,BC-15,Zernike moments+GLCM+Edge2,0.838,0.8383,0.838,0.8381,0.8447
K-Nearest Neighbors,BC-15,Zernike moments+Edge+Edge2,0.7937,0.8136,0.7937,0.7912,0.7621
Support Vector Machine,BC-15,Zernike moments+Edge+Edge2,0.8799,0.8802,0.8799,0.88,0.8689
Random Forest,BC-15,Zernike moments+Edge+Edge2,0.8533,0.8541,0.8533,0.8534,0.8273
K-Nearest Neighbors,BC-15,LBP+GLCM+Edge,0.7599,0.7641,0.7599,0.7594,0.7403
Support Vector Machine,BC-15,LBP+GLCM+Edge,0.8147,0.8147,0.8147,0.8146,0.7983
Random Forest,BC-15,LBP+GLCM+Edge,0.7824,0.7826,0.7824,0.7825,0.7697
K-Nearest Neighbors,BC-15,LBP+GLCM+Edge2,0.7518,0.755,0.7518,0.7515,0.7498
Support Vector Machine,BC-15,LBP+GLCM+Edge2,0.8122,0.8122,0.8122,0.8122,0.7895
Random Forest,BC-15,LBP+GLCM+Edge2,0.7752,0.7752,0.7752,0.7752,0.7609
K-Nearest Neighbors,BC-15,LBP+Edge+Edge2,0.6825,0.6941,0.6825,0.6793,0.6628
Support Vector Machine,BC-15,LBP+Edge+Edge2,0.7566,0.7622,0.7566,0.7559,0.7232
Random Forest,BC-15,LBP+Edge+Edge2,0.7204,0.7215,0.7204,0.7204,0.6851
K-Nearest Neighbors,BC-15,GLCM+Edge+Edge2,0.7502,0.7523,0.7502,0.75,0.7303
Support Vector Machine,BC-15,GLCM+Edge+Edge2,0.7808,0.781,0.7808,0.7809,0.7772
Random Forest,BC-15,GLCM+Edge+Edge2,0.7558,0.756,0.7558,0.7559,0.7498
K-Nearest Neighbors,BC-15,Basic+Enhanced Color+Zernike moments+LBP,0.8904,0.9035,0.8904,0.8898,0.8729
Support Vector Machine,BC-15,Basic+Enhanced Color+Zernike moments+LBP,0.9637,0.9638,0.9637,0.9637,0.9539
Random Forest,BC-15,Basic+Enhanced Color+Zernike moments+LBP,0.9508,0.9509,0.9508,0.9508,0.9337
K-Nearest Neighbors,BC-15,Basic+Enhanced Color+Zernike moments+GLCM,0.9001,0.912,0.9001,0.8996,0.8856
Support Vector Machine,BC-15,Basic+Enhanced Color+Zernike moments+GLCM,0.9686,0.9686,0.9686,0.9686,0.9551
Random Forest,BC-15,Basic+Enhanced Color+Zernike moments+GLCM,0.9533,0.9533,0.9533,0.9533,0.9361
K-Nearest Neighbors,BC-15,Basic+Enhanced Color+Zernike moments+Edge,0.8952,0.908,0.8952,0.8947,0.8686
Support Vector Machine,BC-15,Basic+Enhanced Color+Zernike moments+Edge,0.9654,0.9654,0.9654,0.9654,0.9551
Random Forest,BC-15,Basic+Enhanced Color+Zernike moments+Edge,0.9525,0.9526,0.9525,0.9524,0.9345
K-Nearest Neighbors,BC-15,Basic+Enhanced Color+Zernike moments+Edge2,0.8977,0.9112,0.8977,0.8971,0.8693
Support Vector Machine,BC-15,Basic+Enhanced Color+Zernike moments+Edge2,0.967,0.967,0.967,0.967,0.9551
Random Forest,BC-15,Basic+Enhanced Color+Zernike moments+Edge2,0.9533,0.9533,0.9533,0.9533,0.9317
K-Nearest Neighbors,BC-15,Basic+Enhanced Color+LBP+GLCM,0.8993,0.9114,0.8993,0.8988,0.8717
Support Vector Machine,BC-15,Basic+Enhanced Color+LBP+GLCM,0.9597,0.96,0.9597,0.9597,0.948
Random Forest,BC-15,Basic+Enhanced Color+LBP+GLCM,0.9476,0.9476,0.9476,0.9476,0.9289
K-Nearest Neighbors,BC-15,Basic+Enhanced Color+LBP+Edge,0.8807,0.896,0.8807,0.8799,0.8531
