Model,Dataset,Feature Combination,Accuracy,Precision,Recall,F1 Score,CV_scores(5fold)
Support Vector Machine,BC-15,Zernike moments+LBP,0.886326194398682,0.8887714540496306,0.886326194398682,0.8861556466146747,0.893213938224575
Random Forest,BC-15,Zernike moments+LBP,0.85667215815486,0.8591277016559291,0.85667215815486,0.8564383907810461,0.8554585332871584
K-Nearest Neighbors,BC-15,Zernike moments+GLCM,0.8467874794069192,0.8553439445124649,0.8467874794069192,0.8458832598320454,0.836366859611801
Support Vector Machine,BC-15,Zernike moments+GLCM,0.8937397034596376,0.8955557997654031,0.8937397034596376,0.8936242968853441,0.8903733570804269
Random Forest,BC-15,Zernike moments+GLCM,0.8583196046128501,0.8607861746564004,0.8583196046128501,0.8580885242203443,0.8566714490674319
K-Nearest Neighbors,BC-15,Zernike moments+GIST,0.7817133443163097,0.787953565307661,0.7817133443163097,0.7805605940430173,0.7685804515245963
Support Vector Machine,BC-15,Zernike moments+GIST,0.8245469522240527,0.8274607655060853,0.8245469522240527,0.8241729678955763,0.8213509457609789
Random Forest,BC-15,Zernike moments+GIST,0.842668863261944,0.8498903748819163,0.842668863261944,0.8418755407728331,0.8473391711604743
K-Nearest Neighbors,BC-15,LBP+GLCM,0.7158154859967051,0.7169370556483408,0.7158154859967051,0.7154751475732886,0.702788634377216
Support Vector Machine,BC-15,LBP+GLCM,0.7726523887973641,0.7728518233081819,0.7726523887973641,0.7726178299856721,0.7393377199492077
Random Forest,BC-15,LBP+GLCM,0.7495881383855024,0.7496938746701913,0.7495881383855024,0.7495677478684666,0.7324362209139332
K-Nearest Neighbors,BC-15,LBP+GIST,0.6392092257001647,0.6440051994981328,0.6392092257001647,0.6360557641679493,0.650833621926483
Support Vector Machine,BC-15,LBP+GIST,0.7265238879736409,0.7273870229809909,0.7265238879736409,0.7262415317586532,0.7226924916307986
Random Forest,BC-15,LBP+GIST,0.8163097199341022,0.8182406451155559,0.8163097199341022,0.8160457488799507,0.7953759131911806
K-Nearest Neighbors,BC-15,GLCM+GIST,0.6820428336079077,0.6915481586930785,0.6820428336079077,0.6779408147766246,0.6500206137964016
Support Vector Machine,BC-15,GLCM+GIST,0.7751235584843492,0.7752418806369024,0.7751235584843492,0.7750938002262839,0.7507157110110655
Random Forest,BC-15,GLCM+GIST,0.7932454695222405,0.7936799733679277,0.7932454695222405,0.7931776905835456,0.7799452497567572
K-Nearest Neighbors,BC-15,Basic+Enhanced Color+Zernike moments,0.8912685337726524,0.9000863258873258,0.8912685337726524,0.8906811376826633,0.8976863074918782
