,area,length,width,aspect_ratio,major_axis_length,minor_axis_length,convex_hull_area,convex_hull_perimeter,mean_r,mean_g,mean_b,red_sqr,green_sqr,blue_sqr,texture_mean,texture_std,texture_uniformity,texture_third_moment
8155,11824.5,236.0,66.0,3.5757575757575757,225.92495727539062,37.56996154785156,12300.5,515.1368767023087,164.4594878805405,135.96214312003787,79.94421368105579,12.824175914285506,11.66028057638571,8.941152816111343,122.46979321586696,38.45755873431749,0.03062708,26264.54625993559
8156,11689.0,236.0,65.0,3.6307692307692307,222.29551696777344,36.316429138183594,12099.5,511.4092597961426,165.5522950819672,137.85945355191257,79.87437158469946,12.866712675814565,11.741356546494641,8.937246308830224,123.67863510921597,36.18801195225131,0.028101113,21681.299049703077
8157,10920.0,230.0,65.0,3.5384615384615383,222.34954833984375,34.31934356689453,11273.5,497.21717512607574,170.00370623788345,148.50615805679098,93.00992131371878,13.038546937365508,12.186310272465205,9.64416514342837,134.37324722806807,29.274321602175064,0.03817272,10744.826130702793
8158,11276.0,219.5299835205078,67.40444946289062,3.2569064100340968,214.13763427734375,36.03079605102539,11648.0,489.8295376300812,167.01748689906586,142.24971519708362,80.74595579858737,12.923524554047393,11.926848502311229,8.98587534960214,126.69053187873942,32.20830105043982,0.033453487,16254.235844076622
8159,12001.5,229.0,71.0,3.2253521126760565,221.54586791992188,39.44359588623047,12531.0,504.8248267173767,172.05270655270655,146.3389785797193,84.72860609897647,13.116886313173053,12.097064874576779,9.204814289217163,130.85586217103264,31.906805399793836,0.031468928,16631.414287113523
8160,10496.5,218.0,66.0,3.303030303030303,208.0357208251953,33.901641845703125,10775.5,477.3367986679077,159.36783884489986,139.24679785747554,88.85165346995808,12.624097545761433,11.800288041292701,9.426115502684977,126.48206675969413,35.578517950828214,0.0366868,17506.765387534782
8161,10843.0,205.0,69.0,2.971014492753623,200.0418243408203,37.692447662353516,11103.0,459.21994805336,165.9789825650824,143.80952949605924,90.03528779555768,12.883283066248385,11.992061102915514,9.488692628363387,130.27233175095535,30.008199890311314,0.033264488,13859.642242684078
8162,10202.0,225.0,60.0,3.75,225.339599609375,35.84624481201172,10541.0,488.0249263048172,170.74678111587983,145.8423666462293,88.81005518087063,13.06701117761364,12.076521297386483,9.423908699731266,131.6310855318734,32.933289413785815,0.031966906,15108.63563179489
8163,11044.5,224.0,67.0,3.343283582089552,217.59303283691406,39.0459098815918,11603.5,493.42023754119873,162.60535154500673,143.87046574115539,88.8545118674429,12.751680342017938,11.994601524900917,9.426267122644196,129.55799335525808,34.91690757142786,0.02917167,14255.904742762956
8164,11501.5,236.0,65.0,3.6307692307692307,228.0297393798828,34.93149948120117,11884.0,513.6406420469284,167.01109177903436,145.21319051761637,86.01642018268812,12.9232771300098,12.050443581778074,9.27450377015871,130.0139179582511,32.74399681483442,0.035226718,15877.757915421196
8165,10644.5,215.0,66.0,3.257575757575758,208.579345703125,36.5987663269043,10953.0,471.21553897857666,165.99460807050093,140.26350881261595,83.59502551020408,12.883889477580166,11.843289611109574,9.143031527354813,126.25991501422686,36.119230208406805,0.036865264,18767.75528149881
8166,10966.5,234.0,63.0,3.7142857142857144,226.2332305908203,34.374183654785156,11283.0,507.4742010831833,165.3232028709207,142.28658741729282,89.1571716945161,12.857807078616505,11.928394167585711,9.442307540771806,129.04418610570428,34.153171513566456,0.033145953,12925.813492613153
8167,12773.0,259.99993896484375,65.99998474121094,3.939393925382192,245.2904510498047,41.58027267456055,13324.5,557.0387699604034,161.06106346483705,131.3023768684146,79.09380053908356,12.690983549939581,11.458724923324349,8.893469544507562,119.0893415426799,41.577925174974226,0.028511116,28079.29842309242
8168,12628.0,238.0,70.0,3.4,230.29080200195312,41.97080993652344,13089.0,521.5477796792984,169.37355798421373,146.12204007285973,86.41621129326047,13.014359683988058,12.088094972859029,9.296032018730383,130.92410418869258,33.04051264067245,0.03380253,17009.349788859225
8169,12430.0,247.0,67.0,3.6865671641791047,237.2605438232422,38.19122314453125,12833.5,532.2969312667847,158.84415843559813,134.74982540157637,76.73610695400579,12.603339177995574,11.608179245754968,8.75991478006526,120.15883402037798,38.12275715215334,0.026631717,18540.565757551274
8170,9835.0,218.0,62.0,3.5161290322580645,212.98361206054688,32.903297424316406,10125.0,474.96277844905853,165.90307916111044,141.76530488544066,83.33773790762517,12.88033691954952,11.906523627215488,9.128950537034648,127.05527911417084,34.24388535458037,0.040957727,14375.112930646652
8171,10710.0,242.0,58.0,4.172413793103448,236.97213745117188,34.959754943847656,11122.0,518.2948993444443,165.2229697547035,147.50982376756372,87.85508454393903,12.853908734494093,12.145362232867479,9.373104317350737,131.70004713096932,28.190423479514564,0.031778168,10965.262708962327
8172,9595.0,235.0,58.0,4.051724137931035,228.6552734375,31.350563049316406,9937.5,499.53895485401154,172.25435065337214,150.37678825788072,95.23174583513965,13.124570494053211,12.262821382450317,9.758675413965753,136.39084605241806,31.064572055049727,0.039753575,10181.343948683556
8173,10832.5,213.0,69.0,3.0869565217391304,204.95762634277344,40.8962516784668,11152.0,469.7109522819519,169.5591006300214,147.23420611525344,93.3840240448529,13.021486114496355,12.134010306376595,9.663540968240001,133.68944073545572,28.9673938448794,0.038959563,11393.935653286775
8174,11807.0,243.0,63.0,3.857142857142857,238.4462432861328,36.37773513793945,12226.5,524.8239893913269,168.80258812063457,141.58676701499812,81.16806540689805,12.992405016802492,11.899023784117675,9.009332128792792,126.62851204593608,35.734742122016186,0.033605114,22293.09559161766
8175,11896.5,237.0,66.0,3.590909090909091,234.51226806640625,38.612396240234375,12229.5,517.1180827617645,170.0926775956284,148.59437158469945,92.17535519125683,13.041958349712225,12.189929104990703,9.600799716234937,134.17732194496057,29.18849757979272,0.034066606,13715.412700829587
8176,10700.5,219.0,65.0,3.3692307692307693,211.57762145996094,38.9847526550293,10989.0,478.74898648262024,171.64679502511362,146.56708921310693,84.60380291796221,13.101404315000496,12.10648954953941,9.198032556909233,130.9037903374774,31.999861786035215,0.032039493,15395.382815317167
8177,12017.5,242.0,64.0,3.78125,239.80465698242188,39.138694763183594,12295.0,525.0971728563309,163.18666666666667,138.02272,83.00288,12.774453673901936,11.74830711209066,9.11059163830758,124.44197444259044,37.08604526433638,0.028712954,22943.53041513812
