texture_mean,texture_std,texture_uniformity,texture_third_moment,mean_r,mean_g,mean_b,red_sqr,green_sqr,blue_sqr,area,length,width,ratio,major_axis_length,minor_axis_length,convex_hull_area,convex_hull_perimeter,Label
132.75093263002054,37.89977879446888,0.025590686,18585.418565120297,154.22234452394056,130.48388674860882,88.13453189017305,12.418628930922308,11.422954379170427,9.38799935503689,10593,201,74,2.7162162162162162,187.87796020507812,72.3067626953125,10628.5,441.45180463790894,0
149.99261150255916,20.858219512534447,0.041474443,3089.871303480631,172.54428366174056,149.51539408866995,93.23440065681444,13.13561127857172,12.227648755532273,9.655796220758516,12942,230,80,2.875,213.9025115966797,78.36568450927734,13057.5,499.4619641304016,0
154.9738947248552,20.18939447030978,0.034506597,3191.3989273472407,173.48208846990573,155.8469180565627,102.0552574329224,13.17125994238614,12.483866310424936,10.102240218531849,9284,197,66,2.984848484848485,185.527099609375,64.28164672851562,9340.5,425.5507289171219,0
153.33906955886778,21.440033421997292,0.041950278,4652.943119499895,175.9496511627907,152.7386046511628,97.07406976744186,13.264601432489055,12.358746079241325,9.852617406935167,11398,211,75,2.8133333333333335,200.6798095703125,72.68464660644531,11476.0,467.17330956459045,0
140.54028544287212,30.972377908582654,0.030548178,7522.9284165375575,164.91869918699186,138.3503231186158,87.84823848238483,12.842067558885987,11.762241415589793,9.372739113108015,12380,231,77,3.0,213.79017639160156,75.75910949707031,12794.5,501.815038561821,0
148.6194562098026,25.451922811591682,0.040200625,5870.327127842222,172.226644245142,147.52491280518186,92.27204783258595,13.12351493484661,12.145983402145001,9.605834051897105,10247,220,67,3.283582089552239,206.61570739746094,63.42097854614258,10340.5,467.687584400177,0
132.99097281806098,37.23899980805503,0.029009765,10873.663327549926,157.05227027027027,130.47956756756756,82.70264864864865,12.53204972341996,11.422765320515325,9.094099661244572,11369,245,69,3.550724637681159,230.64781188964844,65.59126281738281,11563.5,517.6359465122223,0
143.11598829809373,26.99287088668913,0.030020572,6802.298580664605,167.2344379758173,140.897223466189,91.33335199283475,12.931915479766223,11.870013625358187,9.556848434124857,11928,228,73,3.1232876712328768,214.5783233642578,68.3261489868164,11696.5,491.11391592025757,0
136.26348860204962,37.15700186260024,0.03057938,2930.5583007028326,157.3826326039638,134.12670408981555,91.92301523656776,12.545223497569257,11.581308392829177,9.587649098531285,10651,199,81,2.45679012345679,183.01470947265625,74.62847137451172,10830.5,437.2961312532425,0
149.49135170939553,20.993235001991177,0.038123876,3163.6761914642116,166.89517492521784,150.3189621537261,99.5587852776694,12.918791542757312,12.260463374347891,9.977914876248915,9837,231,62,3.725806451612903,225.96017456054688,55.88035583496094,10028.0,491.1824163198471,0
150.51697927848363,19.364681881513665,0.033562057,3103.826684040706,165.6671225071225,152.35663817663817,101.25207977207977,12.871174092021384,12.3432831198445,10.062409242923872,12383,195,90,2.1666666666666665,183.69277954101562,86.29109954833984,12623.5,454.8350336551666,0
143.8529720518054,26.016644827819203,0.04213506,5874.670469752416,165.09441930618402,143.59981900452487,89.4108597285068,12.848907319542157,11.983314191179536,9.455731580819476,10018,251,60,4.183333333333334,227.66053771972656,57.5537223815918,10067.0,521.3637574911118,0
147.72558788239985,27.120492767902327,0.03928246,5173.236483193061,172.01662049861497,146.15547091412742,92.06607802400738,13.115510683866448,12.089477694016702,9.595106983458152,10826,224,72,3.111111111111111,208.56298828125,67.25347137451172,11017.5,485.7820682525635,0
138.08700640915413,32.65445578425498,0.028060107,5380.620840051142,160.2832300275482,135.79269972451792,91.5965909090909,12.660301340313673,11.653012474228195,9.57061079080593,11313,238,67,3.5522388059701493,223.60377502441406,65.1569595336914,11658.5,507.13055980205536,0
148.195439501902,25.620535252194067,0.037040316,1997.8055130032335,169.3131914893617,147.38121580547113,96.8561094224924,13.012040250835444,12.140066548642602,9.84155015343073,10600,231,66,3.5,224.01980590820312,60.06965637207031,10606.5,493.107856631279,0
139.60713100202702,28.805517923460194,0.02980215,7404.430518155317,158.64765478424016,139.07448405253282,92.43014383989994,12.595541067546092,11.792984526935191,9.614059696085725,10426,203,73,2.780821917808219,195.357421875,68.3499526977539,10474.0,443.1171077489853,0
137.0320314858145,33.16967956878939,0.030892745,2931.67222017757,153.73179086538462,136.32686298076922,96.87391826923077,12.398862482719316,11.675909514070808,9.842454890383332,10426,204,75,2.72,188.71559143066406,70.48145294189453,10477.0,443.9703462123871,0
152.03971967101097,23.696369734572563,0.043311436,4427.341241910068,172.76862286970862,151.28401594282573,101.51862286970864,13.1441478563545,12.29975674323788,10.07564503492003,8963,210,64,3.28125,202.0058135986328,57.966129302978516,8986.0,447.4396060705185,0
145.2958950000393,25.75317739586171,0.037644573,6409.748139445999,165.32671339563862,144.69637294170005,95.87650200267022,12.857943591245009,12.028980544572347,9.791654712185792,11685,211,79,2.670886075949367,196.59429931640625,74.9140853881836,11716.0,460.42484271526337,0
148.50019298004918,22.83128428915358,0.03700045,3206.8095782223945,169.80256821829855,147.9763657497094,95.30132285382189,13.030831447697363,12.164553660110567,9.762239643330924,11808,201,85,2.364705882352941,185.8480224609375,80.4705810546875,11952.0,450.15734601020813,0
144.8589417428302,23.74431253243983,0.037092954,4477.113316043385,166.8215873015873,144.73862433862433,87.74671957671957,12.915943144098588,12.030736649874118,9.367321899919933,12193,248,70,3.5428571428571427,236.99009704589844,67.19149017333984,12379.5,527.2631098031998,0
144.93432529254278,26.112186062135386,0.039055813,6185.809956418698,169.1795766590389,143.32517162471396,89.66161327231121,13.006904960790592,11.97184913138793,9.468981638608833,11112,225,71,3.1690140845070425,210.6513214111328,68.200927734375,11315.0,483.57265293598175,0
144.2983096625685,28.10836615772256,0.027903453,5716.389786129597,168.65886524822696,142.6190943807965,88.99121658483361,12.986872804806666,11.942323659187792,9.433515600497707,11478,232,73,3.1780821917808217,216.64599609375,67.12892150878906,11541.0,491.6555428504944,0
140.706362993551,29.437221435957547,0.037676893,3915.7820086292377,159.34668831168833,140.1512987012987,94.74435064935065,12.623259813205475,11.838551376806992,9.733670974989376,9462,196,73,2.684931506849315,179.00543212890625,67.28589630126953,9552.0,423.40335965156555,0
